,NOAEL-LOG
256,2.477121255
444,3.0
585,1.0
91,2.301029996
233,2.602059991
789,2.698970004
821,2.0
800,2.477121255
518,3.0
734,2.0
639,2.397940009
416,3.0
377,2.0
221,2.176091259
881,3.0
553,2.77815125
843,2.079181246
163,2.477121255
450,3.0
785,2.77815125
7,1.0
670,2.77815125
842,2.653212514
133,2.903089987
662,2.301029996
456,2.176091259
613,2.602059991
633,2.698970004
791,2.698970004
663,2.477121255
580,2.477121255
462,3.0
819,2.0
94,2.0
892,3.0
793,2.903089987
409,2.204119983
380,3.0
60,1.698970004
802,1.698970004
410,3.0
113,2.477121255
71,2.903089987
772,2.301029996
205,3.0
357,2.77815125
30,1.301029996
606,3.0
298,2.477121255
683,2.698970004
166,2.903089987
543,3.0
648,1.698970004
404,3.0
161,1.301029996
549,2.51851394
475,3.0
301,2.0
118,2.698970004
794,3.0
144,2.698970004
343,2.477121255
470,2.477121255
442,2.301029996
766,2.0
413,2.477121255
209,3.0
902,1.954242509
629,2.477121255
884,1.0
63,2.176091259
490,2.84509804
123,3.0
382,3.0
114,3.0
625,3.0
780,3.0
207,2.477121255
835,2.0
624,2.176091259
676,2.477121255
378,3.0
273,2.903089987
614,2.176091259
848,2.875061263
735,2.477121255
9,3.0
134,1.0
150,3.0
503,3.0
111,3.0
680,2.301029996
623,2.698970004
598,2.698970004
888,3.0
366,2.477121255
246,2.477121255
296,3.0
96,3.0
722,2.176091259
700,2.875061263
459,3.0
125,3.0
726,2.0
26,3.0
399,1.477121255
242,2.477121255
254,2.477121255
120,2.653212514
767,1.698970004
264,2.544068044
43,3.0
551,2.477121255
398,2.0
494,3.0
157,2.698970004
192,3.0
647,1.875061263
708,2.653212514
292,2.698970004
449,3.0
218,3.0
849,3.0
437,2.77815125
883,3.0
47,3.0
11,3.0
287,1.698970004
774,1.397940009
513,2.301029996
385,2.176091259
347,3.0
482,2.698970004
759,1.698970004
632,2.301029996
665,3.0
421,2.477121255
441,2.176091259
425,2.477121255
4,2.397940009
363,3.0
285,2.698970004
344,3.0
554,2.176091259
498,3.0
360,2.77815125
226,1.301029996
473,2.397940009
685,2.698970004
159,2.698970004
78,2.176091259
638,2.77815125
879,2.77815125
866,2.698970004
115,3.0
438,3.0
576,2.477121255
33,2.602059991
324,3.0
698,3.0
19,3.0
572,3.0
535,3.0
210,2.301029996
149,2.77815125
420,2.875061263
820,2.698970004
688,2.77815125
537,3.0
345,2.477121255
247,1.0
73,2.301029996
596,2.477121255
239,2.698970004
626,2.477121255
395,3.0
509,2.477121255
158,2.698970004
331,2.698970004
252,3.0
283,3.0
520,3.0
590,2.698970004
321,2.574031268
495,2.698970004
817,2.0
394,2.698970004
117,3.0
507,2.477121255
872,3.0
460,3.0
188,3.0
16,3.0
801,1.397940009
387,2.477121255
701,1.301029996
697,2.477121255
356,2.397940009
203,2.875061263
616,2.0
661,3.0
400,3.0
208,2.176091259
27,2.176091259
887,2.0
468,2.77815125
521,3.0
95,2.477121255
655,2.477121255
706,3.0
547,1.0
28,2.903089987
191,2.903089987
612,2.176091259
415,2.875061263
810,3.0
180,2.301029996
593,3.0
353,2.875061263
808,2.698970004
72,2.954242509
724,2.477121255
175,2.301029996
847,2.079181246
411,3.0
807,2.477121255
778,1.397940009
584,2.477121255
393,2.301029996
634,1.0
297,1.176091259
443,2.477121255
436,2.812913357
412,1.698970004
461,3.0
578,2.477121255
909,3.0
322,1.397940009
104,2.477121255
740,1.698970004
396,2.301029996
260,3.0
465,2.477121255
293,2.301029996
775,2.698970004
68,2.77815125
417,1.698970004
338,3.0
861,2.0
728,2.0
48,3.0
501,1.301029996
489,3.0
448,2.903089987
686,3.0
341,1.875061263
595,2.77815125
718,1.698970004
497,2.477121255
181,2.477121255
538,2.477121255
330,3.0
750,3.0
869,2.079181246
371,2.653212514
392,2.477121255
337,3.0
748,2.0
223,2.301029996
863,3.0
325,3.0
805,2.0
213,3.0
779,2.0
286,2.698970004
588,2.477121255
790,2.698970004
200,2.77815125
515,3.0
630,1.0
739,2.77815125
757,2.698970004
737,1.698970004
99,3.0
355,2.477121255
830,2.0
238,2.397940009
478,2.477121255
401,3.0
472,2.477121255
12,3.0
98,2.301029996
379,2.653212514
841,1.698970004
17,2.397940009
619,2.477121255
173,3.0
552,2.477121255
605,2.477121255
659,2.698970004
45,2.698970004
197,3.0
746,3.0
69,2.77815125
822,3.0
717,2.698970004
792,2.903089987
608,1.301029996
905,2.477121255
184,2.698970004
505,2.477121255
127,1.875061263
823,2.0
