,0
0,0
1,1
2,1
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,0
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,1
73,1
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,1
118,0
119,1
120,0
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,1
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,0
157,0
158,0
159,1
160,0
