,0
0,1
1,0
2,0
3,1
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,1
28,1
29,0
30,0
31,1
32,0
33,1
34,0
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,1
44,1
45,0
46,1
47,0
48,0
49,0
50,0
51,1
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,1
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,0
75,1
76,1
77,0
78,1
79,1
80,1
81,1
82,0
83,0
84,1
85,0
86,1
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,1
112,0
113,0
114,0
115,1
116,0
117,1
118,0
119,0
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,1
135,0
136,1
137,0
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,0
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,0
163,1
164,1
165,0
