,0
0,0
1,0
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,1
33,1
34,0
35,1
36,1
37,0
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,1
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,1
76,0
77,0
78,1
79,1
80,0
81,1
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,1
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,0
121,1
122,1
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,1
142,0
143,0
144,1
145,1
146,1
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,0
157,1
158,1
159,1
160,1
161,1
162,1
163,0
164,1
165,0
166,1
167,1
168,0
