,0
0,0
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,1
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,0
54,0
55,1
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,0
107,0
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,0
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,0
137,1
138,0
139,1
140,1
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,0
150,1
151,0
152,1
153,0
154,1
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,0
169,1
170,0
171,1
172,1
173,1
174,0
175,1
176,0
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,1
185,0
186,0
187,1
188,0
189,0
190,1
191,1
192,1
193,1
194,0
195,0
196,1
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,0
205,1
206,1
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,1
216,1
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,0
231,0
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,0
258,0
259,0
260,1
261,1
262,1
263,0
264,0
265,1
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,0
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,0
299,1
300,1
301,0
302,1
303,0
304,1
305,1
306,1
307,0
308,1
309,0
310,1
311,1
312,1
313,0
314,1
315,0
316,0
317,1
318,1
319,0
320,1
321,1
322,0
323,1
324,0
325,1
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,0
334,0
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,0
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,1
356,1
357,0
358,0
359,0
360,1
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,1
382,0
383,0
384,0
385,1
386,1
387,1
388,1
389,0
390,0
391,1
392,1
393,0
394,0
395,0
396,1
397,0
398,1
399,0
400,0
401,0
402,0
403,1
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,0
413,1
414,1
415,1
416,1
417,0
418,0
419,1
420,0
421,1
422,1
423,1
424,1
425,0
426,0
427,1
428,1
429,1
430,0
431,1
432,1
433,0
434,1
435,1
436,0
437,0
438,0
439,0
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,1
448,0
449,0
450,0
451,1
452,1
453,0
454,1
455,0
456,0
457,1
458,1
459,1
460,0
461,1
462,0
463,0
464,1
465,1
