,0
0,1
1,1
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,1
95,1
96,0
97,0
98,1
99,0
100,1
101,0
102,0
103,1
104,1
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,1
143,0
144,1
145,0
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,1
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,1
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,1
253,0
254,0
255,1
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,1
265,1
266,1
267,1
268,0
269,0
270,0
271,0
272,0
273,1
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,0
284,1
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,1
329,1
330,1
331,1
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,0
340,0
341,1
342,1
343,0
344,0
345,1
346,1
347,1
348,0
349,1
350,1
351,0
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,0
382,1
383,0
384,0
385,1
386,1
387,0
388,0
389,0
390,1
391,0
392,1
393,0
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,0
402,1
403,1
404,0
405,0
406,1
407,0
408,1
409,0
410,0
411,1
412,1
413,0
