,0
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,0
25,0
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,1
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,1
106,0
107,0
108,1
109,0
110,1
111,0
112,1
113,0
114,0
115,0
116,1
117,1
118,0
119,1
120,1
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,0
133,0
134,0
135,1
136,1
137,1
138,0
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,0
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,0
165,0
166,1
167,0
168,0
169,1
170,1
171,0
172,0
173,0
174,1
175,0
176,1
177,1
178,1
179,0
180,1
181,0
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,1
199,0
200,1
201,1
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,1
220,0
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,0
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,1
247,0
248,1
249,0
250,1
251,0
252,0
253,1
254,0
255,0
256,1
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,1
265,0
266,0
267,0
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,1
295,1
296,0
297,0
298,0
299,1
300,1
301,1
302,1
303,0
304,1
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,0
325,1
326,0
327,1
328,0
329,0
330,0
331,1
332,0
333,1
334,0
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,1
343,1
344,0
345,1
346,0
347,0
348,1
349,1
