,0
0,1
1,1
2,0
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,0
135,1
136,1
137,0
138,0
139,1
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,1
158,1
159,1
160,1
161,0
162,0
163,0
164,1
165,0
166,1
167,1
168,1
169,1
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,0
187,1
188,1
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,1
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,0
213,0
214,1
215,1
216,1
217,0
218,1
219,0
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,1
278,0
279,1
280,0
281,0
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,0
291,0
292,1
293,0
294,1
295,1
296,0
297,1
298,1
299,0
300,1
301,1
302,0
303,0
304,1
305,0
306,1
307,1
308,1
309,0
310,1
311,0
312,1
313,0
314,0
315,0
316,1
317,1
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,1
329,1
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,0
339,0
340,1
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,1
354,1
355,0
356,0
357,1
358,0
359,0
360,1
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,1
369,0
370,1
371,1
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,1
382,1
383,1
384,0
385,1
386,0
387,1
388,0
389,0
390,1
391,0
392,0
393,1
394,1
395,0
396,0
397,1
398,1
399,1
400,0
401,0
402,0
403,1
404,1
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,1
418,1
419,1
420,1
421,0
422,0
423,0
424,0
425,1
426,1
427,0
428,1
429,1
430,1
431,0
432,1
433,0
434,0
435,1
436,0
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,1
446,0
447,1
448,1
449,0
450,0
451,0
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,1
465,1
466,1
467,0
468,1
469,0
470,0
471,0
472,0
473,1
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,1
482,0
483,0
484,1
485,0
486,1
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,1
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,1
506,1
507,1
508,0
509,0
510,1
511,1
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,1
526,0
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,0
535,1
536,1
537,0
538,1
539,0
540,0
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,1
549,0
550,1
551,1
552,0
553,0
554,0
555,1
556,0
557,1
558,0
559,0
560,0
561,1
562,0
563,0
564,1
565,1
566,1
567,1
568,1
569,0
570,1
571,0
572,1
573,1
574,1
575,1
576,0
577,1
578,1
579,0
580,0
581,0
582,1
583,1
584,0
585,0
586,1
587,0
588,1
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,1
597,0
598,0
599,0
600,0
601,0
602,1
603,0
604,1
605,0
606,1
607,1
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,0
616,1
617,0
618,1
619,0
620,0
621,1
622,1
623,0
624,1
625,0
626,0
627,1
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,1
636,0
637,0
638,1
639,1
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,0
648,1
649,1
650,0
651,0
652,1
653,0
654,1
655,0
656,1
657,0
658,1
659,1
660,0
661,1
662,0
663,0
664,1
665,0
666,1
667,1
668,0
669,0
670,0
671,1
672,0
673,1
674,1
675,0
676,1
677,1
678,0
679,0
680,0
681,0
682,1
683,1
684,1
685,0
686,0
687,0
688,1
689,0
690,1
691,0
692,0
693,0
694,0
695,1
696,1
697,0
698,0
699,0
700,0
701,0
702,1
703,1
704,0
705,0
706,0
707,0
708,1
709,1
710,1
711,0
712,1
713,1
714,0
715,0
716,1
717,0
718,1
719,1
720,1
721,0
722,0
723,0
724,1
725,1
726,0
727,1
728,0
729,0
730,1
731,0
732,0
733,0
734,1
735,1
736,0
737,0
738,1
739,1
740,1
741,0
742,0
743,1
744,1
745,0
746,1
747,0
748,1
749,1
750,1
751,0
752,0
753,0
754,0
755,1
756,0
757,0
758,0
759,1
760,1
761,1
762,0
763,1
764,0
765,1
766,0
767,0
768,1
769,0
770,1
771,0
772,0
773,1
774,0
775,0
776,0
777,1
778,1
779,0
780,0
781,0
782,0
783,1
784,0
785,1
786,1
787,0
788,1
789,1
790,0
791,0
792,1
793,1
794,0
795,1
796,1
797,1
798,0
799,1
800,0
801,0
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,1
810,0
811,0
812,0
