,NOAEL-LOG
761,2.0
774,2.0
266,2.477121255
509,2.301029996
525,1.301029996
169,3.0
189,2.698970004
360,3.0
692,2.477121255
335,3.0
74,3.0
575,2.477121255
234,2.397940009
441,2.477121255
448,3.0
653,2.397940009
270,3.0
436,2.875061263
61,2.698970004
696,2.0
366,2.903089987
49,3.0
243,2.0
674,2.477121255
553,3.0
415,2.653212514
724,3.0
358,3.0
231,2.0
100,2.698970004
884,2.698970004
454,2.77815125
717,3.0
494,2.698970004
38,3.0
468,2.301029996
497,2.477121255
186,2.698970004
268,2.602059991
473,2.176091259
671,2.602059991
138,3.0
489,2.477121255
786,2.0
554,2.477121255
315,2.0
236,2.602059991
311,2.397940009
779,2.0
524,2.477121255
652,2.477121255
712,3.0
18,2.301029996
748,3.397940009
215,3.0
97,2.397940009
598,2.477121255
686,3.0
390,1.0
37,2.875061263
305,3.0
595,1.875061263
92,3.0
35,2.176091259
162,3.0
237,3.0
757,2.698970004
868,2.698970004
399,3.0
187,2.653212514
81,3.0
855,2.397940009
808,2.698970004
801,2.0
614,1.499687083
547,2.176091259
462,3.0
196,2.903089987
6,1.301029996
153,2.176091259
726,2.875061263
513,2.698970004
795,1.397940009
119,3.0
814,2.397940009
51,3.0
607,2.602059991
706,2.301029996
738,1.698970004
142,2.875061263
411,2.301029996
241,2.397940009
343,2.477121255
634,1.301029996
21,1.698970004
77,3.0
862,2.079181246
190,3.0
292,2.698970004
1,3.0
301,2.301029996
39,3.0
194,3.0
346,2.602059991
599,2.301029996
815,1.698970004
485,2.954242509
883,2.477121255
737,3.0
172,3.0
367,2.698970004
278,2.77815125
256,1.0
385,3.0
750,3.0
874,3.0
880,2.301029996
465,2.903089987
817,3.0
545,1.875061263
617,2.698970004
546,3.0
662,3.0
787,1.698970004
866,3.0
112,3.0
716,2.698970004
875,2.77815125
642,2.0
605,2.698970004
567,2.477121255
103,2.698970004
183,2.477121255
796,2.301029996
684,2.698970004
80,3.0
179,2.698970004
832,1.397940009
558,3.0
84,2.397940009
224,2.477121255
296,1.698970004
861,1.397940009
195,2.176091259
135,2.903089987
381,2.397940009
889,2.301029996
590,2.397940009
126,2.301029996
616,3.0
23,1.301029996
626,2.477121255
892,2.079181246
128,3.0
357,2.477121255
749,2.477121255
378,2.301029996
461,3.0
637,3.0
105,2.477121255
418,3.0
121,2.574031268
853,1.698970004
152,3.0
140,3.0
574,3.0
744,1.698970004
673,1.875061263
807,3.0
53,2.698970004
507,3.0
488,2.477121255
570,2.477121255
91,2.301029996
219,2.477121255
262,2.903089987
395,2.653212514
527,3.0
373,2.77815125
