,NOAEL-LOG
766,3.0
223,3.0
1507,2.698970004
280,2.556302501
1139,3.0
166,1.301029996
74,2.954242509
1362,2.875061263
1202,3.0
701,2.77815125
996,3.0
1248,3.0
1047,3.0
1380,2.301029996
307,2.176091259
237,2.397940009
890,3.0
966,3.0
1152,2.698970004
253,3.0
624,2.602059991
1242,3.0
374,2.875061263
1000,2.903089987
874,3.0
601,1.875061263
462,2.77815125
236,3.0
1031,3.0
567,2.477121255
944,3.0
1235,2.875061263
1460,2.301029996
416,2.477121255
1355,2.477121255
736,3.0
78,3.0
586,2.602059991
302,2.0
1231,3.0
194,2.477121255
1262,2.0
518,3.0
1137,3.0
633,3.0
1539,3.0
1011,2.875061263
893,3.0
161,3.0
661,1.0
1155,3.0
820,3.0
1533,2.875061263
522,2.477121255
632,2.477121255
1177,2.397940009
657,3.0
1191,3.0
1364,3.0
1023,3.0
768,3.0
675,3.0
1459,3.0
1190,2.477121255
299,3.0
238,2.301029996
207,2.698970004
682,3.0
851,3.0
400,3.0
68,2.0
241,3.0
1387,2.0
794,3.0
265,2.176091259
845,2.77815125
853,3.0
1336,3.0
1016,3.0
536,3.0
260,3.0
138,2.903089987
371,2.477121255
692,3.0
949,3.0
1282,2.875061263
785,3.0
1393,2.903089987
793,2.698970004
1476,3.096910013
95,3.0
1365,2.477121255
412,1.0
1538,2.653212514
1227,2.0
834,2.477121255
1117,3.0
1359,3.0
521,2.176091259
409,2.477121255
839,3.0
1223,3.0
331,3.0
1128,3.0
1385,2.875061263
1245,3.0
492,2.77815125
888,2.698970004
749,2.698970004
349,2.477121255
38,2.176091259
1056,3.0
824,2.0
1483,2.903089987
1084,3.176091259
1224,3.0
1519,3.0
448,2.477121255
279,2.301029996
1557,3.0
468,3.0
456,3.0
1576,3.0
758,2.477121255
116,3.0
1233,3.0
1104,2.875061263
653,2.397940009
1147,2.77815125
858,3.0
1055,3.0
1569,3.0
449,2.301029996
1157,2.875061263
510,2.301029996
829,3.0
271,3.0
635,3.0
978,3.0
1489,2.079181246
190,2.653212514
1292,3.0
1559,3.0
1073,2.875061263
174,2.903089987
1145,2.477121255
699,2.301029996
1159,3.0
786,3.0
615,2.875061263
187,2.477121255
1271,2.903089987
1004,3.0
1286,3.0
358,2.875061263
75,2.301029996
831,3.0
948,2.477121255
973,2.698970004
1181,3.0
411,2.397940009
108,2.477121255
169,1.0
1331,3.0
1526,3.0
17,2.397940009
821,3.77815125
455,2.653212514
1404,3.0
36,2.397940009
1182,2.477121255
814,3.0
1020,3.0
873,3.0
59,1.875061263
1216,2.096910013
898,2.0
142,3.0
879,3.0
47,3.0
722,2.698970004
363,2.477121255
666,2.301029996
609,2.477121255
479,2.176091259
568,2.477121255
737,3.0
1194,2.875061263
709,2.698970004
80,2.176091259
1135,2.698970004
818,2.698970004
819,2.698970004
1314,2.698970004
589,2.77815125
13,2.875061263
505,2.875061263
805,3.0
612,2.698970004
401,2.653212514
651,2.477121255
181,2.477121255
98,2.477121255
81,3.0
606,2.301029996
35,3.0
863,2.301029996
1149,3.0
3,2.176091259
732,1.301029996
1477,3.0
679,2.653212514
1172,2.875061263
876,2.903089987
278,3.0
338,1.397940009
1508,3.0
1361,3.0
287,2.574031268
1486,3.0
431,2.0
1014,3.079181246
186,2.477121255
355,3.0
553,2.176091259
1450,3.0
295,2.477121255
37,2.477121255
881,3.0
177,3.0
1187,3.0
1204,2.903089987
54,2.0
217,2.698970004
1420,3.176091259
168,2.477121255
1416,3.0
1052,3.0
1512,2.698970004
1288,3.0
549,2.301029996
387,2.397940009
408,2.477121255
122,3.0
239,2.602059991
835,2.698970004
410,2.477121255
1303,3.0
373,2.698970004
24,2.301029996
903,3.0
1255,2.698970004
535,2.477121255
1279,3.0
807,3.0
1354,3.0
686,2.477121255
1057,3.0
670,2.397940009
1468,2.875061263
128,3.0
1229,2.875061263
610,2.698970004
958,2.0
1339,2.477121255
1466,3.0
51,2.397940009
444,2.477121255
870,3.0
617,2.698970004
1045,3.0
803,3.0
1441,3.0
1164,2.477121255
629,2.477121255
582,2.477121255
1218,2.903089987
1372,3.0
1012,2.477121255
1461,3.0
894,2.079181246
1029,2.301029996
43,3.0
702,2.0
847,3.0
61,1.698970004
296,2.698970004
301,1.698970004
642,2.176091259
49,3.0
1442,3.0
1577,3.0
648,2.0
892,2.0
298,1.698970004
155,3.0
136,3.0
573,2.477121255
953,3.0
417,2.301029996
631,2.698970004
184,2.301029996
1414,3.0
561,3.0
575,2.176091259
425,3.0
516,1.397940009
1428,2.77815125
1212,2.477121255
1335,3.0
1185,3.0
1054,3.0
506,2.698970004
1150,2.698970004
366,3.0
394,2.698970004
1297,2.544068044
727,2.0
1300,2.875061263
414,3.0
364,3.0
1321,3.0
256,2.397940009
1440,2.77815125
741,2.477121255
950,2.301029996
773,3.0
811,3.0
672,2.477121255
868,3.0
663,2.301029996
1482,3.0
262,2.477121255
854,3.698970004
639,2.602059991
231,1.301029996
73,3.0
593,2.544068044
929,3.0
1573,3.0
1050,2.602059991
703,3.0
515,2.301029996
1469,3.0
714,3.0
674,2.698970004
590,4.301029996
395,2.176091259
972,3.0
965,2.0
1492,3.0
1293,2.84509804
94,2.301029996
1075,3.0
1093,3.0
1010,3.0
906,2.397940009
1059,3.0
936,2.0
390,3.0
398,2.698970004
1332,3.0
140,3.477121255
1063,2.653212514
150,2.397940009
1266,3.0
947,3.0
1213,3.0
121,2.698970004
243,1.301029996
671,2.477121255
1265,3.0
441,2.875061263
6,2.397940009
962,3.0
810,3.0
1171,2.698970004
152,2.0
312,2.477121255
747,2.875061263
587,2.176091259
983,2.77815125
967,3.0
1001,3.0
654,2.301029996
871,3.0
1108,3.0
743,2.477121255
532,2.477121255
472,3.0
658,2.477121255
705,3.0
1260,3.0
53,3.0
1458,3.0
266,2.903089987
993,3.0
1360,2.51851394
209,2.698970004
192,2.698970004
865,2.096910013
550,2.77815125
730,1.301029996
775,3.0
1345,3.0
1136,2.698970004
1095,2.875061263
1583,3.0
1369,3.0
1203,3.0
1,2.0
1121,3.079181246
377,2.477121255
507,3.0
1263,2.0
830,3.0
1500,2.812913357
76,3.0
1097,2.698970004
1495,3.0
826,3.0
110,3.0
1590,3.0
1376,3.0
488,2.477121255
1144,3.0
97,2.0
930,2.096910013
183,3.0
1141,3.0
1328,3.0
18,2.477121255
1453,3.0
478,3.0
902,3.0
487,2.477121255
1105,3.0
1565,2.096910013
1570,2.0
660,2.477121255
459,2.812913357
1547,3.0
215,2.301029996
934,3.0
751,2.301029996
489,2.477121255
1522,2.602059991
596,2.397940009
1318,2.477121255
956,2.698970004
683,2.477121255
1254,2.477121255
1433,3.176091259
341,3.0
1270,3.0
991,3.0
1089,3.0
952,2.77815125
413,2.653212514
619,1.0
999,2.447158031
1497,2.397940009
407,2.176091259
560,2.477121255
376,3.301029996
792,2.698970004
33,2.301029996
860,3.0
442,2.875061263
738,3.0
118,2.397940009
733,2.698970004
538,2.477121255
381,2.477121255
1353,2.0
1564,2.477121255
90,2.477121255
588,2.875061263
404,3.0
133,2.477121255
1118,3.0
461,3.0
1594,3.0
1080,3.0
503,2.477121255
647,3.0
1390,3.0
1578,3.0
497,2.397940009
292,1.0
1337,2.875061263
423,3.0
577,1.301029996
1196,2.875061263
208,2.875061263
822,2.698970004
1115,2.397940009
650,2.698970004
1394,3.0
1138,3.0
1074,2.301029996
1072,3.0
283,2.903089987
276,2.477121255
1520,3.0
1086,3.0
827,3.0
716,3.0
1133,3.0
264,2.477121255
1423,3.0
378,2.397940009
1009,2.903089987
112,2.477121255
470,3.0
19,3.0
1548,3.0
346,2.0
869,2.698970004
1148,3.0
1558,3.0
687,2.698970004
1582,3.0
254,2.477121255
1258,3.0
28,2.875061263
224,2.698970004
1122,3.875061263
1409,3.0
1317,3.0
84,3.0
801,3.0
1267,2.0
694,2.477121255
1463,3.0
1401,3.0
800,3.0
182,2.698970004
135,2.477121255
1540,3.0
1094,3.0
1591,2.477121255
347,3.0
367,3.0
438,3.0
900,3.0
742,3.0
23,1.698970004
27,3.0
1061,3.0
964,2.301029996
101,2.301029996
188,2.477121255
541,3.0
554,3.0
780,3.0
105,3.0
418,2.698970004
460,2.77815125
645,2.602059991
664,2.698970004
396,1.0
325,2.84509804
735,3.0
495,2.477121255
1524,2.477121255
1592,2.301029996
520,3.0
1510,2.875061263
1436,2.698970004
753,2.698970004
1043,3.0
524,2.301029996
1419,3.0
859,3.0
955,3.0
0,1.0
559,3.0
757,2.477121255
1308,3.0
1572,2.698970004
233,2.0
1546,2.77815125
761,2.602059991
1504,2.77815125
558,2.301029996
229,2.77815125
1018,2.698970004
1119,3.0
1392,2.079181246
1257,2.875061263
311,3.0
494,2.477121255
572,3.0
324,2.301029996
1243,3.0
200,2.698970004
564,3.0
71,3.0
159,2.0
1398,3.0
360,2.397940009
690,2.698970004
901,2.0
1358,2.397940009
288,3.0
385,3.0
1329,3.0
42,3.0
599,3.0
759,3.0
882,3.0
454,3.0
1301,3.0
1173,3.0
218,3.0
1437,2.653212514
823,3.0
1513,2.0
1585,2.0
961,3.0
60,3.0
969,2.698970004
1269,3.0
369,2.477121255
1168,2.301029996
1490,3.0
576,2.477121255
205,2.77815125
1555,2.096910013
770,3.0
542,2.875061263
1299,2.301029996
1470,3.0
1377,3.0
748,3.0
1545,2.875061263
585,2.477121255
216,1.875061263
685,2.477121255
673,1.698970004
1485,2.77815125
1003,2.698970004
1210,3.0
630,2.602059991
144,2.954242509
787,3.0
315,3.0
1517,2.0
380,3.0
1417,3.0
1250,3.0
1030,2.698970004
808,3.0
1381,3.0
63,3.0
932,3.0
1326,3.0
739,2.653212514
114,2.176091259
1256,2.301029996
268,1.698970004
83,3.0
248,2.477121255
1391,2.698970004
719,2.0
432,3.0
1589,3.0
713,3.301029996
252,2.477121255
907,3.0
1239,3.0
1367,3.176091259
111,2.698970004
935,3.0
1306,2.397940009
1349,3.0
1338,3.0
1067,3.0
9,3.0
134,1.698970004
662,3.0
1214,3.0
1162,2.698970004
623,2.698970004
96,2.698970004
1554,3.0
437,2.875061263
931,3.0
578,1.0
1087,2.397940009
1085,2.698970004
1532,3.0
246,2.0
899,2.903089987
1038,3.0
608,2.397940009
1352,3.0
1456,3.0
1176,2.698970004
1325,3.0
889,3.0
125,2.653212514
523,3.0
1330,3.0
26,2.0
1101,2.301029996
979,2.397940009
1126,3.0
848,2.77815125
242,3.0
1208,3.0
960,3.0
473,3.0
1113,2.477121255
887,3.0
776,2.77815125
1475,3.0
1348,3.0
1124,3.0
1021,2.477121255
1127,2.0
1552,3.0
115,3.0
185,2.301029996
841,3.0
1188,3.0
1281,2.0
498,3.0
11,3.0
467,3.0
878,3.0
335,2.397940009
1153,3.0
149,2.698970004
525,2.875061263
1207,3.0
445,2.397940009
4,2.397940009
511,2.0
945,3.0
1228,3.0
1167,2.397940009
1244,2.602059991
938,2.477121255
178,3.0
158,2.698970004
226,2.176091259
1036,2.77815125
379,2.77815125
915,3.0
636,2.397940009
323,3.0
627,2.477121255
1076,2.698970004
1069,3.0
545,2.477121255
836,3.0
1389,3.0
531,1.301029996
402,3.0
210,3.0
382,2.77815125
1534,2.875061263
1309,3.0
763,3.0
1174,3.875061263
345,2.301029996
1289,3.0
2,3.0
191,3.0
317,2.397940009
843,2.51851394
764,2.77815125
985,3.0
175,3.0
321,2.0
1543,2.301029996
397,3.0
537,3.0
106,2.698970004
117,2.477121255
372,2.903089987
