,NOAEL-LOG
1266,3.0
637,2.77815125
120,1.698970004
395,2.875061263
587,2.477121255
1193,3.0
932,3.0
810,2.698970004
270,2.698970004
74,2.0
996,3.0
190,3.0
169,2.301029996
77,2.903089987
1087,2.397940009
837,2.477121255
784,3.0
425,2.77815125
196,3.0
930,3.0
187,3.0
881,3.653212514
521,3.0
219,2.066325925
123,3.0
138,3.0
971,3.0
516,3.0
601,3.0
199,3.0
913,3.0
717,3.0
1111,2.477121255
773,2.77815125
16,3.0
1040,2.77815125
1094,3.0
1073,3.0
420,2.477121255
295,3.0
621,2.698970004
441,3.0
790,2.77815125
1218,2.301029996
1183,2.875061263
100,2.698970004
955,3.0
1069,3.0
253,3.0
302,2.698970004
567,2.0
730,3.0
286,2.079181246
987,3.0
1061,3.0
544,2.903089987
1151,2.079181246
195,2.84509804
336,2.301029996
119,3.0
1174,2.812913357
410,3.0
853,3.0
1025,3.0
1202,2.875061263
479,2.903089987
126,3.0
605,2.0
280,2.301029996
132,3.0
419,2.698970004
366,3.0
860,2.477121255
172,2.176091259
399,2.301029996
859,2.875061263
722,3.0
290,3.0
443,2.301029996
7,3.0
635,3.0
1237,3.0
332,3.0
863,3.0
92,3.0
271,3.0
708,3.0
995,3.0
1200,3.0
153,2.301029996
194,3.0
201,2.477121255
552,2.397940009
660,3.0
480,3.0
297,3.0
947,3.0
259,3.0
424,3.0
619,2.698970004
113,1.954242509
1235,2.698970004
174,2.0
1219,3.0
21,2.875061263
533,3.0
857,2.544068044
905,3.0
273,2.397940009
394,3.0
104,3.0
1072,3.0
1043,3.0
911,3.0
64,3.0
459,3.0
1049,2.875061263
344,3.0
1186,2.0
719,2.653212514
163,2.698970004
1090,3.0
1247,2.698970004
662,3.0
654,3.0
706,3.0
279,2.544068044
561,3.0
1120,3.0
278,2.477121255
416,2.301029996
299,3.0
1017,3.0
864,3.0
409,2.602059991
349,3.0
203,2.301029996
161,3.0
912,2.875061263
477,2.397940009
1071,3.0
811,3.0
15,2.698970004
237,3.0
625,2.0
241,3.0
1234,3.0
1057,3.0
568,3.0
1203,3.0
492,2.77815125
1116,3.0
899,3.0
436,2.301029996
704,3.0
1262,2.0
642,3.0
543,1.477121255
1020,3.0
427,3.0
1236,3.0
108,2.602059991
1210,3.0
228,2.84509804
850,3.0
794,2.698970004
648,3.0
884,2.903089987
764,2.0
238,2.176091259
59,3.0
469,3.0
980,3.0
841,2.698970004
1229,3.0
47,3.0
827,2.397940009
839,2.079181246
830,3.0
978,2.698970004
141,1.602059991
888,3.0
371,3.0
80,2.698970004
624,3.0
510,3.0
250,2.301029996
918,3.176091259
343,2.176091259
858,2.477121255
535,2.77815125
211,2.397940009
260,3.0
973,3.0
620,3.0
1059,3.0
1103,2.698970004
98,3.0
1211,3.0
330,3.0
758,2.875061263
471,3.0
35,3.0
965,3.0
716,3.0
456,3.0
1097,3.176091259
671,3.0
920,3.176091259
162,3.0
1001,3.0
854,2.544068044
1082,3.0
1199,2.477121255
1062,3.0
1260,3.0
529,3.0
1176,3.0
1003,2.875061263
186,3.0
506,1.903089987
582,2.77815125
829,3.0
39,3.0
934,3.0
314,2.397940009
69,2.0
593,3.0
490,2.301029996
882,2.096910013
692,3.0
1137,3.0
54,3.0
786,3.0
217,2.301029996
966,3.0
815,3.0
536,2.0
975,3.0
448,2.698970004
1029,3.0
862,2.698970004
923,2.875061263
213,2.301029996
974,2.477121255
488,1.698970004
166,3.0
921,2.477121255
37,3.0
446,3.0
285,3.0
487,2.51851394
759,3.0
122,3.0
922,2.698970004
