,NOAEL-LOG
1119,3.0
908,3.0
805,2.477121255
938,3.0
95,2.477121255
663,3.0
400,3.0
1047,2.903089987
1091,3.176091259
1131,2.77815125
577,2.397940009
630,3.0
553,3.0
1014,3.0
893,2.0
236,3.0
1092,2.875061263
991,3.0
1133,3.0
128,2.0
631,2.477121255
801,3.0
374,2.0
733,3.0
103,2.698970004
51,3.0
557,2.698970004
929,3.0
845,2.477121255
484,3.0
596,3.0
869,2.477121255
726,3.0
1136,3.0
1048,3.0
1010,3.0
672,3.0
1079,3.0
1256,2.096910013
646,3.0
656,2.698970004
761,2.698970004
43,2.096910013
1106,2.77815125
575,3.0
189,3.0
682,3.0
296,2.397940009
301,3.0
549,3.0
874,3.0
334,3.875061263
1249,3.0
1255,3.0
573,2.397940009
179,3.0
998,1.795880017
1140,3.0
298,3.0
989,3.0
907,2.0
136,3.0
61,2.397940009
613,2.0
754,3.0
207,3.0
184,3.0
1204,2.301029996
49,2.544068044
749,2.875061263
639,2.204119983
305,3.0
697,3.0
414,3.0
411,3.0
1056,2.477121255
1232,3.0
928,3.0
887,3.0
751,2.698970004
538,2.079181246
1243,2.602059991
256,2.477121255
1144,3.0
30,3.0
415,2.301029996
1086,2.77815125
364,2.653212514
606,3.0
421,3.0
370,2.0
462,3.0
667,2.875061263
231,2.066325925
1226,2.0
960,3.0
81,2.903089987
507,2.698970004
1195,2.602059991
1157,2.903089987
1171,2.397940009
1248,3.0
365,2.77815125
710,3.0
515,3.0
979,3.0
1168,3.0
1000,2.544068044
94,2.176091259
788,2.875061263
645,3.0
865,2.77815125
444,3.0
88,3.0
814,2.875061263
140,3.0
1169,3.0
676,3.0
150,2.301029996
609,3.0
121,1.698970004
1164,3.0
243,2.77815125
591,2.653212514
450,3.0
6,2.77815125
679,3.176091259
358,3.0
387,3.0
1095,2.77815125
152,2.0
898,3.0
718,2.602059991
964,2.477121255
1102,2.698970004
821,2.875061263
1006,2.903089987
142,2.77815125
1270,3.0
1134,2.477121255
803,3.0
527,2.77815125
820,2.903089987
1167,3.0
1182,3.0
791,3.0
703,2.698970004
53,2.698970004
807,2.77815125
650,2.477121255
1080,3.0
266,3.0
1170,3.0
880,3.0
209,2.301029996
670,3.079181246
551,3.0
38,3.0
1146,3.176091259
478,3.0
944,3.0
742,2.875061263
546,2.0
1238,3.0
1185,2.698970004
234,3.0
1,3.0
1223,3.0
377,3.0
904,3.0
985,3.0
753,2.301029996
1192,3.0
249,2.0
505,2.096910013
373,2.176091259
743,3.0
776,3.0
612,2.301029996
1129,2.301029996
878,2.477121255
1068,3.0
589,3.0
744,3.0
97,3.0
595,3.0
223,3.0
183,2.477121255
809,3.0
890,3.0
18,3.0
665,2.903089987
1214,3.0
465,3.0
1153,3.0
935,2.77815125
513,3.0
468,3.0
915,3.0
1036,3.0
333,2.653212514
354,2.875061263
941,3.0
215,2.301029996
449,3.0
1060,3.0
239,3.0
262,2.653212514
747,3.0
1188,3.0
634,3.0
91,2.653212514
73,3.0
502,2.875061263
770,2.903089987
629,3.0
903,3.0
1084,3.0
831,2.698970004
816,2.875061263
455,2.397940009
518,3.0
1209,2.875061263
734,3.0
157,2.397940009
826,3.0
1114,3.0
885,3.0
1190,2.0
407,3.0
757,3.0
713,3.0
376,3.0
847,3.0
33,3.0
550,2.301029996
331,2.602059991
686,3.0
307,2.0
1127,3.0
357,3.0
705,2.602059991
118,2.301029996
221,2.301029996
652,2.602059991
381,2.176091259
398,2.477121255
1077,3.0
1244,3.0
1002,2.477121255
76,3.0
404,3.0
133,2.653212514
1085,3.176091259
461,3.0
1023,2.477121255
963,2.301029996
503,2.301029996
615,3.0
497,2.397940009
292,2.176091259
1064,3.0
423,2.77815125
687,3.0
617,2.698970004
768,3.0
588,2.096910013
699,3.0
276,2.698970004
1179,2.0
633,3.0
579,2.096910013
