,NOAEL-LOG
779,3.77815125
419,3.0
1386,2.77815125
973,3.0
945,2.903089987
85,3.0
228,2.698970004
1354,3.0
870,2.397940009
606,2.477121255
412,2.77815125
1271,2.397940009
551,3.0
1308,3.0
349,2.397940009
839,2.079181246
1447,3.0
1040,2.77815125
786,3.0
814,2.698970004
123,2.653212514
1349,3.0
1204,3.0
119,2.698970004
821,3.0
7,1.0
1242,2.903089987
703,2.301029996
749,3.0
875,2.77815125
199,2.477121255
613,2.397940009
1194,2.875061263
1454,3.0
15,3.0
651,2.477121255
1437,3.0
1170,3.0
1009,2.51851394
273,2.556302501
280,2.574031268
502,3.0
1293,3.0
1423,2.301029996
646,3.0
1370,2.477121255
1268,2.602059991
388,3.0
977,3.0
1000,3.0
822,2.903089987
1339,3.0
724,2.397940009
1177,2.301029996
1202,2.84509804
794,2.698970004
1260,3.0
887,3.0
791,2.903089987
1055,2.0
1403,2.602059991
213,2.698970004
1324,2.653212514
906,2.698970004
658,2.653212514
490,2.875061263
69,2.77815125
1155,3.0
157,3.0
469,3.0
935,2.698970004
357,3.0
299,2.176091259
568,2.875061263
754,2.096910013
120,2.574031268
589,2.477121255
203,2.698970004
189,3.0
259,2.176091259
201,2.77815125
1350,2.875061263
972,2.698970004
1191,3.0
746,3.0
30,1.301029996
948,3.0
1280,2.0
104,2.602059991
370,2.77815125
1276,2.301029996
573,2.544068044
1300,3.0
179,3.0
1052,3.0
344,3.0
546,3.0
1002,2.301029996
100,3.0
510,1.301029996
1375,3.0
1316,3.0
399,2.653212514
1362,3.0
586,2.397940009
1413,2.875061263
1127,2.77815125
615,2.477121255
1197,2.544068044
1025,2.602059991
1093,2.301029996
561,3.0
1433,2.096910013
790,2.0
446,3.0
960,3.0
77,3.0
1444,2.477121255
141,2.875061263
328,3.0
195,2.903089987
898,3.0
219,3.0
727,2.301029996
535,2.176091259
415,3.0
211,2.301029996
810,2.875061263
196,2.698970004
1262,2.875061263
286,3.0
521,2.477121255
505,3.0
1246,3.0
1051,2.477121255
270,2.301029996
766,3.0
1282,3.0
1059,2.698970004
1072,2.77815125
21,2.653212514
221,3.0
1131,2.602059991
1217,3.0
593,3.0
482,2.397940009
930,3.0
710,1.301029996
736,3.0
163,2.301029996
449,2.176091259
416,3.0
126,3.0
1393,2.698970004
113,3.0
162,1.301029996
1103,2.079181246
1007,3.0
775,2.0
234,2.301029996
557,2.477121255
1228,3.0
605,2.77815125
612,3.0
699,2.77815125
533,1.875061263
942,3.0
336,3.0
72,3.0
253,1.0
536,3.0
153,3.0
232,3.0
1004,2.698970004
91,3.0
1391,2.875061263
609,2.477121255
448,1.301029996
223,2.477121255
667,1.301029996
1164,2.0
854,3.0
1126,3.0
16,3.0
595,2.477121255
805,2.397940009
1255,2.0
1135,3.0
1043,3.0
1231,2.0
88,2.477121255
629,2.477121255
1042,2.653212514
92,2.301029996
730,2.698970004
1364,3.0
966,3.0
1035,2.0
1307,3.0
785,3.0
1244,3.0
354,2.477121255
39,2.875061263
1084,3.0
237,3.0
1138,3.0
202,2.477121255
468,3.0
827,3.0
527,3.0
332,3.0
1312,3.0
620,2.176091259
132,3.0
1266,2.397940009
691,2.301029996
1211,2.698970004
166,2.397940009
358,2.477121255
173,3.0
427,2.875061263
374,2.301029996
1290,3.0
1395,4.113943352
431,2.397940009
1348,3.0
74,2.301029996
674,3.0
411,3.0
652,1.698970004
371,3.0
963,3.0
953,3.176091259
1179,3.0
1367,2.77815125
795,3.0
436,2.602059991
465,2.477121255
1340,3.0
314,2.84509804
774,3.0
733,2.477121255
1012,2.698970004
305,2.0
64,2.698970004
665,2.477121255
1227,2.77815125
249,1.0
172,2.301029996
882,3.0
1388,2.477121255
302,2.477121255
714,2.477121255
297,2.301029996
334,2.301029996
738,3.0
1295,3.0
307,3.0
1115,3.0
631,2.397940009
950,2.698970004
330,3.0
421,2.477121255
194,2.176091259
1325,3.0
1451,2.77815125
269,2.477121255
1421,3.0
617,2.602059991
731,2.0
161,3.0
365,2.477121255
964,2.77815125
1169,3.0
1136,2.477121255
1141,2.698970004
1098,3.0
492,3.0
885,3.0
1063,3.0
1355,3.0
1267,2.602059991
238,3.0
207,2.954242509
656,3.0
1320,3.176091259
68,2.77815125
241,2.698970004
1311,3.0
1010,3.0
831,3.0
860,2.698970004
409,3.0
260,2.698970004
138,3.0
