,NOAEL-LOG
598,3.0
1113,3.0
68,2.698970004
241,3.0
847,3.0
265,3.0
738,2.0
1051,3.0
1105,3.176091259
260,3.0
138,3.0
1361,3.096910013
415,3.0
612,3.0
686,3.0
1302,3.176091259
692,3.0
527,2.477121255
477,3.0
1275,3.0
1410,2.602059991
651,3.0
1168,3.0
1040,3.0
1270,3.0
552,3.0
1428,2.653212514
955,2.77815125
334,2.301029996
821,3.0
1476,3.0
952,2.903089987
775,2.875061263
654,2.301029996
38,2.477121255
1362,3.0
1295,3.0
709,2.0
1117,3.0
348,3.0
279,3.0
1450,2.698970004
1268,3.0
1337,3.0
370,2.0
826,2.602059991
1223,2.397940009
479,3.0
1028,2.477121255
1239,2.0
670,3.0
934,2.602059991
419,3.0
271,3.0
1423,2.875061263
1315,2.698970004
1389,1.698970004
190,3.0
1142,2.875061263
1103,3.176091259
730,3.0
174,2.0
674,2.301029996
456,3.0
853,3.0
733,2.301029996
543,3.0
187,2.698970004
876,3.0
1200,2.477121255
358,3.0
490,3.0
1084,3.0
1296,3.176091259
1465,2.0
606,3.0
108,2.477121255
169,2.653212514
646,2.875061263
1422,3.0
17,3.0
1255,3.0
1409,3.0
36,2.698970004
1123,3.0
1080,2.875061263
455,3.0
59,3.0
652,2.77815125
142,2.397940009
593,3.0
47,3.84509804
1019,3.602059991
1260,3.0
1021,2.477121255
793,3.0
1149,3.0
80,3.0
714,3.0
621,3.0
518,3.0
13,2.0
1195,2.397940009
1368,3.0
778,3.0
484,3.0
792,2.698970004
1075,3.0
893,3.0
1190,3.0
181,3.0
290,2.0
98,3.0
81,2.0
1124,3.0
1466,3.0
250,2.301029996
672,2.698970004
35,3.0
978,2.698970004
3,2.0
1076,3.0
1094,3.0
595,3.0
1228,3.0
1324,2.477121255
1300,3.0
278,2.0
900,2.698970004
343,3.0
1405,2.0
446,3.0
1385,2.397940009
936,3.0
285,3.0
879,2.698970004
431,3.0
186,2.903089987
948,3.0
355,2.903089987
551,3.0
295,3.0
465,3.875061263
568,3.0
1462,2.698970004
557,3.0
1141,3.0
177,3.0
950,3.0
1191,3.0
1043,2.875061263
54,2.301029996
710,2.903089987
217,3.0
546,3.0
1288,3.0
1174,3.0
168,3.0
1011,2.397940009
1005,2.875061263
858,3.0
1281,3.0
941,3.0
1013,3.0
561,2.301029996
658,3.698970004
1202,2.477121255
37,2.698970004
387,2.653212514
1427,2.477121255
613,3.0
1451,3.0
122,1.698970004
239,3.0
1227,2.875061263
116,2.875061263
1151,3.0
1077,3.0
967,3.0
95,2.77815125
410,3.0
906,3.0
373,3.0
1481,3.0
667,2.875061263
949,3.0
703,3.0
788,2.698970004
718,2.397940009
863,3.176091259
1475,3.0
1194,2.875061263
75,3.0
401,2.698970004
786,3.0
274,3.0
1265,2.477121255
502,3.0
1244,3.0
236,3.0
956,2.397940009
771,3.0
1197,2.544068044
471,2.903089987
1456,3.0
1419,2.301029996
1292,3.0
128,3.0
1072,3.0
1309,3.0
1313,2.301029996
601,3.0
815,2.602059991
903,3.0
1347,2.477121255
1006,2.698970004
51,2.0
444,3.0
1464,3.0
544,2.0
953,2.602059991
701,2.77815125
819,3.0
635,3.0
1115,2.0
732,2.698970004
1059,3.0
882,2.77815125
1364,2.079181246
1274,3.0
1182,3.0
43,2.0
1467,3.0
1232,3.176091259
61,2.477121255
296,3.0
301,3.0
794,3.0
49,2.698970004
726,3.0
1469,3.0
1344,2.77815125
779,3.0
298,3.0
155,2.698970004
136,3.0
1353,3.0
417,2.301029996
