graph_id,label,dataset_role,parent_edc_group,partition
0,1,internal,0,internal_outer_train
1,1,internal,1,internal_outer_train
2,1,internal,2,internal_outer_train
3,1,internal,3,internal_outer_train
4,1,internal,4,internal_outer_train
5,1,internal,5,internal_outer_train
6,1,internal,6,internal_outer_train
7,1,internal,7,internal_outer_test
8,1,internal,8,internal_outer_train
9,1,internal,9,internal_outer_train
10,1,internal,10,internal_outer_train
11,1,internal,11,internal_outer_train
12,1,internal,12,internal_outer_test
13,1,internal,13,internal_outer_train
14,1,internal,14,internal_outer_test
15,1,internal,15,internal_outer_train
16,1,internal,16,internal_outer_train
17,1,internal,17,internal_outer_train
18,1,internal,18,internal_outer_train
19,1,internal,19,internal_outer_train
20,1,internal,20,internal_outer_train
21,1,internal,21,internal_outer_train
22,1,internal,22,internal_outer_train
23,1,internal,23,internal_outer_test
24,1,internal,24,internal_outer_train
25,1,internal,25,internal_outer_train
26,1,internal,26,internal_outer_train
27,1,internal,27,internal_outer_train
28,1,internal,28,internal_outer_test
29,1,internal,29,internal_outer_train
30,1,internal,30,internal_outer_test
31,1,internal,31,internal_outer_train
32,1,internal,32,internal_outer_train
33,1,internal,33,internal_outer_train
34,1,internal,34,internal_outer_test
35,1,internal,35,internal_outer_train
36,1,internal,36,internal_outer_train
37,1,internal,37,internal_outer_train
38,1,internal,38,internal_outer_train
39,1,internal,39,internal_outer_train
40,1,internal,40,internal_outer_train
41,1,internal,41,internal_outer_test
42,1,internal,42,internal_outer_train
43,1,internal,43,internal_outer_train
44,1,internal,44,internal_outer_train
45,1,internal,45,internal_outer_train
46,1,internal,46,internal_outer_train
47,1,internal,47,internal_outer_train
48,1,internal,48,internal_outer_train
49,1,internal,49,internal_outer_train
50,1,internal,50,internal_outer_train
51,1,internal,51,internal_outer_train
52,1,internal,52,internal_outer_test
53,1,internal,53,internal_outer_train
54,1,internal,54,internal_outer_train
55,1,internal,55,internal_outer_train
56,1,internal,56,internal_outer_test
57,1,internal,57,internal_outer_test
58,1,internal,58,internal_outer_train
59,1,internal,59,internal_outer_train
60,1,internal,60,internal_outer_train
61,1,internal,61,internal_outer_train
62,1,internal,62,internal_outer_train
63,1,internal,63,internal_outer_train
64,1,internal,64,internal_outer_test
65,1,internal,65,internal_outer_train
66,1,internal,66,internal_outer_train
67,1,internal,67,internal_outer_train
68,1,internal,68,internal_outer_train
69,1,internal,69,internal_outer_train
70,1,internal,70,internal_outer_test
71,1,internal,71,internal_outer_train
72,1,internal,72,internal_outer_train
73,1,internal,73,internal_outer_test
74,1,internal,74,internal_outer_train
75,1,internal,75,internal_outer_test
76,1,internal,76,internal_outer_test
77,1,internal,77,internal_outer_train
78,1,internal,78,internal_outer_train
79,1,internal,79,internal_outer_train
80,1,internal,80,internal_outer_train
81,1,external,-1,external_not_used_in_internal_cv
82,1,external,-1,external_not_used_in_internal_cv
83,1,external,-1,external_not_used_in_internal_cv
84,1,external,-1,external_not_used_in_internal_cv
85,1,external,-1,external_not_used_in_internal_cv
86,1,external,-1,external_not_used_in_internal_cv
87,0,internal,0,internal_outer_train
88,0,internal,0,internal_outer_train
89,0,internal,0,internal_outer_train
