trial_id,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,batch_size,dropout
1,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5
2,40,60,60,0.0005688039537212766,0.0004920019732944499,200,0.5
3,100,80,30,0.0008486165516584464,0.0005084493783737062,20,0.5
4,10,100,100,0.0008734814747888442,0.0005022389370808115,200,0.5
5,30,60,30,0.0005142074913913346,0.0004790644158444441,200,0.5
6,60,20,40,0.00023914258639995916,0.00048765839233460336,20,0.5
7,50,10,100,0.0006538987297053277,0.000491614289210684,20,0.5
8,100,30,20,0.0009168144741320229,0.000488675498202033,20,0.5
9,80,80,80,0.00011452907035201367,0.0005118515746366037,20,0.5
10,40,100,30,0.00048424306559691427,0.0004947886854249381,300,0.5
11,80,80,60,0.0006236064052569793,0.0004996203504871143,20,0.5
12,20,80,20,0.0009419682934554323,0.0005005153368016104,200,0.5
13,40,10,100,0.00024521341239469525,0.0005317037860967833,300,0.5
14,20,30,10,0.00016280361045944067,0.00047501634874709916,50,0.5
15,80,30,30,0.00019100063874097334,0.0004985551824863759,300,0.5
16,100,20,50,0.0006999416145169186,0.0004952426107756578,20,0.5
17,80,40,30,0.0009239139300315565,0.0004992338855621589,20,0.5
18,20,20,40,0.0009045667105603941,0.00047973629353043187,300,0.5
19,40,80,60,0.0001885645389331465,0.0005064341699422509,300,0.5
20,40,40,50,0.0004466267711203207,0.00048561146822178084,20,0.5
21,100,10,30,0.0006315668528191062,0.000479478306022102,50,0.5
22,80,20,50,0.00027906921007912793,0.0005024966123959797,100,0.5
23,80,40,80,0.0001734015431966785,0.0005070759080554819,100,0.5
24,30,80,30,0.00018472278947324666,0.0005021395676742947,300,0.5
25,80,60,20,0.0009261680393095023,0.000489157381592425,300,0.5
26,80,60,60,0.00012831853307107265,0.0005038857464197013,300,0.5
27,30,20,60,0.00025721312906434125,0.0005083868761860715,200,0.5
28,100,80,100,0.0009921110260134617,0.0004788447701182832,100,0.5
29,50,100,40,0.0008582943099286113,0.0005031819847674375,200,0.5
30,20,100,80,0.00011402462807910907,0.0005029778847418198,100,0.5
31,50,30,20,0.0006988704313864339,0.0005015424186648699,300,0.5
32,60,60,60,0.0007923014863077,0.0004801188015557557,100,0.5
33,30,80,100,0.0009214741314822198,0.0004972743309274203,300,0.5
34,80,60,50,0.000992686114796795,0.0005082695800564698,50,0.5
35,50,50,40,0.0008456521232816646,0.0004947044817551744,300,0.5
36,30,20,100,0.0005093983497994914,0.0004999015693916831,200,0.5
37,40,100,60,0.0008653167153034539,0.0005044049783567796,20,0.5
38,10,60,80,0.0009023926752275475,0.0005015383195800516,20,0.5
39,50,30,40,0.0006258287417616427,0.0004946851691579328,20,0.5
40,30,10,100,0.00029784528273141286,0.0004961398460208261,50,0.5
41,40,30,40,0.00030275527522312476,0.0004901037177094274,300,0.5
42,60,30,10,0.00036775418198966176,0.0005067184868455402,100,0.5
43,60,30,20,0.00024650059909164953,0.0004910243990408136,20,0.5
44,80,80,60,0.00043198794000794854,0.0004947701681298424,200,0.5
45,100,30,60,0.00013906272182275239,0.0005066496522481127,20,0.5
46,80,60,50,0.0001833995263777296,0.0004970773812271389,300,0.5
47,20,40,60,0.00016184738071773832,0.0005224252348370796,200,0.5
48,50,50,80,0.00022934276433305187,0.0005027841280615251,300,0.5
49,30,100,40,0.0008153174237371214,0.0004924629241766376,50,0.5
50,40,80,20,0.0004751948805760719,0.0004999257912292843,100,0.5
51,40,40,60,0.0006904019125763234,0.0004976287433920331,300,0.5
52,20,20,20,0.0002697869571413696,0.0004840710531794717,20,0.5
53,60,40,10,0.0008554195386591387,0.0005049010751304965,100,0.5
54,20,30,60,0.00022356311020365423,0.0004973799584019508,200,0.5
55,50,80,40,0.00024730807962920244,0.0004906883951307414,200,0.5
56,60,40,20,0.0008256625479449572,0.0005114325530826244,100,0.5
57,50,30,80,0.00046034878674705776,0.000513884019865636,200,0.5
58,10,20,50,0.0006380150843341059,0.0005046981339830515,20,0.5
59,50,40,30,0.0009124123013863271,0.0004993316427887046,20,0.5
60,50,30,10,0.00044188412448500485,0.000515967657056066,200,0.5
61,30,30,80,0.0005932638753344341,0.0005016508488539,200,0.5
62,80,100,20,0.0009079131270858375,0.0004957269673321594,50,0.5
63,10,60,80,0.000721873711693345,0.0004983191222210975,200,0.5
64,100,20,40,0.0002708146416256993,0.0004906786666383559,200,0.5
65,60,50,60,0.00044732543173213923,0.0004998730332195959,300,0.5
66,50,60,80,0.0008227885762177713,0.0004987571554494441,50,0.5
67,50,50,60,0.00020239304495815903,0.0004983179041475398,300,0.5
68,10,60,50,0.00047962527962159776,0.0004976151179230504,100,0.5
69,10,40,60,0.00027220998822711254,0.0004998299536490992,20,0.5
70,80,30,40,0.0004637793208751745,0.0005107384420868677,300,0.5
71,30,50,50,0.0009863577851061194,0.0004969094017028326,50,0.5
72,80,80,20,0.00034844552080346016,0.0004961091529267085,200,0.5
73,60,30,10,0.00012753049526936013,0.0004892328101766941,200,0.5
74,40,60,10,0.0006996841683368495,0.0004961903131375341,200,0.5
75,80,20,50,0.00022186973515307484,0.0004809828898584808,100,0.5
76,40,30,20,0.0001746355481469191,0.0004983245949115462,200,0.5
77,30,10,40,0.00023645770200743258,0.0004885110709677272,20,0.5
78,80,60,60,0.0006422696048441723,0.0004948517114034378,100,0.5
79,80,50,50,0.0006681757429349579,0.0005048561756354553,100,0.5
80,30,20,60,0.0008675200225403347,0.0004917252619287565,50,0.5
81,60,60,20,0.00045007500455180487,0.0005037603851271223,50,0.5
82,10,20,80,0.00043720423464854583,0.0004935100897687044,50,0.5
83,40,20,10,0.0009311151518576577,0.0004926979205492536,50,0.5
84,20,50,100,0.0005835296694668841,0.0004962394437490597,100,0.5
85,20,50,80,0.0006604077820026486,0.0004980525232096034,300,0.5
86,10,30,80,0.0005505285976921684,0.0004933050687897267,20,0.5
87,60,10,40,0.0007350570684571588,0.0005000223891702862,100,0.5
88,50,100,50,0.0006141762210623987,0.0004940007174691852,20,0.5
89,60,10,20,0.0004814179710486647,0.0004997097457549745,300,0.5
90,20,10,50,0.00032845159617507974,0.0004901279465639264,50,0.5
91,40,50,100,0.0007162378850072205,0.0005040261196391667,50,0.5
92,30,20,10,0.0002665307955631828,0.00048227553416807826,300,0.5
93,100,80,60,0.0008480083006492895,0.0004973078049410902,50,0.5
94,40,60,60,0.0008261832719250748,0.0004944466107429151,50,0.5
95,10,50,10,0.0008688258192067572,0.0005055176962600654,200,0.5
96,10,80,80,0.0005017681071810099,0.0004994104734684058,200,0.5
97,20,60,40,0.0008858180121857242,0.0005056951291254651,100,0.5
98,10,30,50,0.00052675569107276,0.0005166274483339189,50,0.5
99,20,50,60,0.00046587204817894314,0.0005063858486734547,20,0.5
100,100,10,30,0.000910073081814316,0.0004992914589830287,50,0.5
