repeat,outer_fold,config_id,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,inner_selected_threshold,inner_selected_epochs_median,inner_pr_auc,inner_roc_auc,inner_recall,inner_specificity,inner_balanced_accuracy,inner_mcc,inner_f1_score,inner_accuracy,inner_threshold,inner_tp,inner_tn,inner_fp,inner_fn
0,0,0,48,16,32,0.001,0.001,0.5,0.63,26,0.5026870431837599,0.817431640625,0.46875,0.9734375,0.72109375,0.5092778898012834,0.5405405405405406,0.9275568181818182,0.63,30,623,17,34
0,0,1,32,64,16,0.001,0.0005,0.2,0.5349999999999999,6,0.2878841581572629,0.6206298828125,0.15625,0.996875,0.5765625,0.34008102854029515,0.2631578947368421,0.9204545454545454,0.5349999999999999,10,638,2,54
0,0,2,64,48,32,0.0005,0.0001,0.2,0.5599999999999999,17,0.4249534651178899,0.6766845703125,0.390625,0.984375,0.6875,0.495979995876908,0.505050505050505,0.9303977272727273,0.5599999999999999,25,630,10,39
0,0,3,32,48,48,0.0005,0.0001,0.5,0.5099999999999999,25,0.5508652645752049,0.86182861328125,0.5625,0.984375,0.7734375,0.6361743894869062,0.6545454545454547,0.9460227272727273,0.5099999999999999,36,630,10,28
0,0,4,48,32,48,0.0003,0.0001,0.4,0.5399999999999999,10,0.28145520264775,0.6612426757812501,0.234375,0.990625,0.6125,0.380226597197621,0.35294117647058826,0.921875,0.5399999999999999,15,634,6,49
0,0,5,64,32,32,0.0005,0.0005,0.2,0.5099999999999999,41,0.5289356058863752,0.8664794921875001,0.59375,0.978125,0.7859375,0.6285728458641928,0.6551724137931033,0.9431818181818182,0.5099999999999999,38,626,14,26
0,1,0,80,64,32,0.0003,0.0001,0.4,0.49499999999999994,14,0.30606323688697945,0.6407810650887574,0.23076923076923078,0.9892307692307692,0.61,0.3662335103823572,0.3448275862068966,0.9202797202797203,0.49499999999999994,15,643,7,50
0,1,1,32,16,32,0.0005,0.0001,0.5,0.5099999999999999,20,0.6563867398602132,0.8486982248520709,0.6461538461538462,0.9892307692307692,0.8176923076923077,0.722961045058911,0.736842105263158,0.958041958041958,0.5099999999999999,42,643,7,23
0,1,2,48,64,16,0.0005,0.001,0.4,0.4799999999999999,8,0.2960941935817406,0.6850295857988167,0.9846153846153847,0.45692307692307693,0.7207692307692308,0.2574576122912821,0.26556016597510373,0.5048951048951049,0.4799999999999999,64,297,353,1
0,1,3,80,32,48,0.001,0.0001,0.5,0.48499999999999993,16,0.39039803781137117,0.8491834319526628,0.6461538461538462,0.8707692307692307,0.7584615384615385,0.39002851317126475,0.43979057591623033,0.8503496503496504,0.48499999999999993,42,566,84,23
0,1,4,48,16,24,0.001,0.0005,0.5,0.5449999999999999,15,0.5294449409064066,0.8004615384615384,0.24615384615384617,0.9969230769230769,0.6215384615384616,0.44607146793246866,0.3855421686746988,0.9286713286713286,0.5449999999999999,16,648,2,49
0,1,5,48,32,16,0.0005,0.0005,0.5,0.49499999999999994,44,0.8129708243412204,0.9755857988165682,0.8,0.98,0.89,0.78,0.8000000000000002,0.9636363636363636,0.49499999999999994,52,637,13,13
0,2,0,64,32,48,0.0005,0.001,0.2,0.49999999999999994,25,0.6068406381710576,0.876094674556213,0.5692307692307692,0.9830769230769231,0.7761538461538462,0.6344697385025249,0.6548672566371682,0.9454545454545454,0.49999999999999994,37,639,11,28
0,2,1,64,48,24,0.001,0.0001,0.2,0.39499999999999996,20,0.34858404756830397,0.7193964497041421,0.8153846153846154,0.7015384615384616,0.7584615384615385,0.3125128462012358,0.33974358974358976,0.7118881118881119,0.39499999999999996,53,456,194,12
