repeat,outer_fold,n_train_graphs,n_test_graphs,n_train_groups,n_test_groups,n_train_edcs,n_test_edcs,n_train_non_edcs,n_test_non_edcs,selected_epochs,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,pr_auc,roc_auc,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
1,1,704,187,64,17,64,17,640,170,25,32,48,48,0.0005,0.0001,0.5,0.9628408029878618,0.995674740484429,0.9411764705882353,0.9764705882352941,0.9588235294117646,0.8535940220567492,0.8648648648648648,0.9732620320855615,0.5099999999999999,16,166,4,1
1,2,715,176,65,16,65,16,650,160,44,48,32,16,0.0005,0.0005,0.5,0.8441789215686275,0.982421875,1.0,0.59375,0.796875,0.34246744460938755,0.32989690721649484,0.6306818181818182,0.49499999999999994,16,95,65,0
1,3,715,176,65,16,65,16,650,160,14,32,64,24,0.0003,0.0001,0.5,0.9612637362637363,0.9958984375000001,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.48999999999999994,0,160,0,16
1,4,715,176,65,16,65,16,650,160,9,48,64,32,0.001,0.0005,0.5,0.7030440574619217,0.97578125,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5249999999999999,0,160,0,16
1,5,715,176,65,16,65,16,650,160,25,80,16,16,0.001,0.0001,0.2,0.8619892278260245,0.96484375,0.9375,0.525,0.73125,0.26607346215974925,0.2803738317757009,0.5625,0.575,15,84,76,1
2,1,704,187,64,17,64,17,640,170,36,64,48,16,0.0003,0.0001,0.2,0.921737871719146,0.9709342560553632,0.5882352941176471,1.0,0.7941176470588236,0.7516460280028289,0.7407407407407407,0.9625668449197861,0.4649999999999999,10,170,0,7
2,2,715,176,65,16,65,16,650,160,27,64,32,16,0.001,0.0005,0.2,0.7894981464399033,0.98046875,0.625,0.99375,0.809375,0.7348469228349535,0.7407407407407406,0.9602272727272727,0.5349999999999999,10,159,1,6
2,3,715,176,65,16,65,16,650,160,14,32,48,24,0.0003,0.0001,0.5,0.9296642593517593,0.9939453125000001,0.0625,1.0,0.53125,0.23904572186687872,0.11764705882352941,0.9147727272727273,0.49999999999999994,1,160,0,15
2,4,715,176,65,16,65,16,650,160,41,80,64,16,0.001,0.0005,0.2,0.945909299034299,0.9943359374999999,0.5625,1.0,0.78125,0.7341131763485946,0.72,0.9602272727272727,0.63,9,160,0,7
2,5,715,176,65,16,65,16,650,160,28,32,32,48,0.001,0.001,0.5,0.7672462188546747,0.983984375,1.0,0.9375,0.96875,0.75955452531275,0.761904761904762,0.9431818181818182,0.48499999999999993,16,150,10,0
3,1,704,187,64,17,64,17,640,170,32,64,48,24,0.001,0.0005,0.5,0.8466829920822818,0.990484429065744,0.8823529411764706,0.9823529411764705,0.9323529411764706,0.8428256222883823,0.8571428571428571,0.9732620320855615,0.48999999999999994,15,167,3,2
