repeat,outer_fold,selected_threshold,selected_epochs,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,inner_best_pr_auc
1,1,0.5099999999999999,25,32,48,48,0.0005,0.0001,0.5,0.5508652645752049
1,2,0.49499999999999994,44,48,32,16,0.0005,0.0005,0.5,0.8129708243412204
1,3,0.48999999999999994,14,32,64,24,0.0003,0.0001,0.5,0.6781365930161053
1,4,0.5249999999999999,9,48,64,32,0.001,0.0005,0.5,0.6614091824240061
1,5,0.575,25,80,16,16,0.001,0.0001,0.2,0.5895613631240143
2,1,0.4649999999999999,36,64,48,16,0.0003,0.0001,0.2,0.732390806502375
2,2,0.5349999999999999,27,64,32,16,0.001,0.0005,0.2,0.5435234619564759
2,3,0.49999999999999994,14,32,48,24,0.0003,0.0001,0.5,0.5172987155918708
2,4,0.63,41,80,64,16,0.001,0.0005,0.2,0.637481300039014
2,5,0.48499999999999993,28,32,32,48,0.001,0.001,0.5,0.6708914194725135
3,1,0.48999999999999994,32,64,48,24,0.001,0.0005,0.5,0.6716206850070812
3,2,0.5399999999999999,70,32,64,48,0.0003,0.001,0.4,0.7746183585168356
3,3,0.59,28,32,16,48,0.001,0.0005,0.4,0.6443831453215186
3,4,0.5199999999999999,37,80,48,16,0.0003,0.0001,0.2,0.6850433591329017
3,5,0.6399999999999999,30,64,64,16,0.001,0.0005,0.5,0.6850426643979131
4,1,0.5249999999999999,36,80,32,32,0.0003,0.0001,0.4,0.6029195476280055
4,2,0.49999999999999994,46,48,64,32,0.001,0.0001,0.4,0.7409291521035557
4,3,0.48999999999999994,21,32,32,48,0.001,0.0001,0.4,0.7827386497569631
4,4,0.4799999999999999,33,48,48,32,0.0005,0.0001,0.4,0.7781274390918159
4,5,0.48499999999999993,15,80,16,32,0.0005,0.0001,0.5,0.65635844508481
5,1,0.4599999999999999,58,32,16,48,0.0005,0.001,0.4,0.8263719650715389
5,2,0.43999999999999995,35,32,64,32,0.001,0.0005,0.4,0.7289892473314685
5,3,0.5499999999999999,4,32,48,24,0.001,0.0005,0.4,0.4873703099486345
5,4,0.5249999999999999,11,80,48,32,0.0005,0.0005,0.2,0.6764968809281925
5,5,0.5099999999999999,27,32,16,24,0.0005,0.001,0.2,0.734128620898049
6,1,0.48999999999999994,49,64,64,48,0.0003,0.0005,0.2,0.7091211728097623
6,2,0.5149999999999999,17,64,32,16,0.001,0.0005,0.5,0.6250530584153811
6,3,0.4749999999999999,48,32,32,32,0.0005,0.0005,0.4,0.808305294544205
6,4,0.5049999999999999,21,48,64,16,0.0005,0.0001,0.4,0.4765786864206109
6,5,0.4699999999999999,19,48,48,32,0.001,0.0005,0.5,0.5991818613934722
7,1,0.48999999999999994,29,64,64,16,0.001,0.0005,0.4,0.6240463572766612
7,2,0.48999999999999994,13,32,64,32,0.0003,0.001,0.5,0.5930826272837826
7,3,0.5199999999999999,30,64,32,32,0.001,0.001,0.4,0.6988127214615145
7,4,0.4499999999999999,39,80,64,24,0.0003,0.001,0.2,0.6472471037604
7,5,0.49999999999999994,33,80,64,48,0.0005,0.001,0.2,0.5267715623803323
8,1,0.5049999999999999,32,64,32,32,0.0003,0.0001,0.4,0.6565305928919323
8,2,0.4799999999999999,32,64,32,32,0.0005,0.0005,0.5,0.6599197010188841
8,3,0.5249999999999999,18,48,16,48,0.001,0.001,0.4,0.5979691563577605
8,4,0.5299999999999999,31,32,16,32,0.0005,0.0001,0.2,0.6073713769642293
8,5,0.48499999999999993,12,48,16,24,0.0005,0.001,0.4,0.5956863416244854
9,1,0.5399999999999999,19,48,64,16,0.001,0.001,0.2,0.545613921866267
9,2,0.5349999999999999,39,32,32,32,0.001,0.001,0.4,0.7259485122415136
9,3,0.4599999999999999,22,48,64,48,0.001,0.001,0.4,0.7477556646273293
9,4,0.5299999999999999,37,48,48,48,0.0003,0.0005,0.2,0.656668244857493
9,5,0.48499999999999993,17,32,32,48,0.0003,0.0005,0.4,0.561849256182356
10,1,0.49999999999999994,20,80,32,16,0.0003,0.001,0.4,0.610086071494808
10,2,0.5349999999999999,22,80,32,48,0.001,0.0005,0.4,0.5188944142806026
10,3,0.575,21,48,32,16,0.001,0.0001,0.2,0.5951587701642773
10,4,0.4649999999999999,22,48,32,48,0.001,0.0001,0.2,0.680416052200948
10,5,0.4799999999999999,14,32,16,32,0.0005,0.0005,0.5,0.6237418907952292
11,1,0.5549999999999999,23,64,16,32,0.001,0.0005,0.5,0.5162671601777475
11,2,0.4599999999999999,35,80,16,48,0.0003,0.0001,0.2,0.5013357650491808
11,3,0.5149999999999999,18,32,32,24,0.0005,0.0001,0.4,0.45414266849192036
11,4,0.49499999999999994,22,80,32,32,0.0005,0.0001,0.4,0.6799892989642194
11,5,0.49499999999999994,19,48,16,24,0.0003,0.001,0.2,0.6128373239259018
12,1,0.41999999999999993,41,64,32,16,0.001,0.0005,0.2,0.8156706813222803
12,2,0.4649999999999999,15,48,48,16,0.0005,0.001,0.5,0.6061985031912019
12,3,0.5149999999999999,47,64,48,24,0.0005,0.0005,0.4,0.6541151723518747
12,4,0.4749999999999999,27,48,64,16,0.001,0.0005,0.4,0.6425341734424526
12,5,0.5049999999999999,31,48,64,24,0.001,0.0005,0.2,0.8135970636588954
13,1,0.4799999999999999,23,80,48,48,0.0003,0.0001,0.4,0.8152954525337153
13,2,0.5099999999999999,64,48,16,24,0.0003,0.001,0.4,0.48127754646917364
13,3,0.49499999999999994,33,64,16,24,0.001,0.001,0.4,0.8328579484056353
13,4,0.48499999999999993,35,48,48,16,0.0005,0.0001,0.5,0.6967213432805958
13,5,0.49999999999999994,41,48,64,32,0.001,0.001,0.2,0.7468121468490443
14,1,0.5499999999999999,30,80,32,32,0.0003,0.001,0.2,0.6077201994503892
14,2,0.5599999999999999,26,32,48,48,0.001,0.0005,0.5,0.4967517489911069
14,3,0.5499999999999999,29,32,32,24,0.001,0.001,0.5,0.5738449429449468
14,4,0.49499999999999994,26,48,48,24,0.0005,0.0005,0.4,0.6899469523001535
14,5,0.48999999999999994,36,48,32,16,0.0005,0.001,0.2,0.7972655157619037
15,1,0.5499999999999999,24,80,16,24,0.001,0.0001,0.5,0.6268002733369707
15,2,0.48499999999999993,29,48,64,16,0.001,0.001,0.4,0.66157966112645
15,3,0.5349999999999999,27,48,32,32,0.001,0.0005,0.2,0.6265811574169328
15,4,0.5399999999999999,21,32,64,48,0.001,0.001,0.5,0.6296727974309283
15,5,0.49499999999999994,26,32,64,16,0.001,0.001,0.5,0.6335338975775835
16,1,0.4699999999999999,45,32,64,24,0.001,0.0005,0.5,0.6173054439222089
16,2,0.5299999999999999,38,48,16,16,0.001,0.0001,0.4,0.7258877334988938
16,3,0.4799999999999999,26,64,64,48,0.0005,0.0001,0.2,0.5273283996248407
16,4,0.48999999999999994,38,48,16,24,0.0003,0.0005,0.2,0.6656517596042365
16,5,0.48999999999999994,14,80,48,16,0.0005,0.0005,0.2,0.6352520312372523
17,1,0.48999999999999994,28,48,32,16,0.001,0.001,0.2,0.6080467788326365
17,2,0.49499999999999994,19,32,48,32,0.001,0.0001,0.5,0.5749512324728662
17,3,0.48499999999999993,23,32,48,24,0.001,0.0001,0.2,0.5846719651141276
17,4,0.49999999999999994,35,48,64,32,0.0003,0.001,0.4,0.6858646787829454
17,5,0.5349999999999999,45,32,16,48,0.0005,0.0001,0.5,0.7772108396558293
