graph_id,label,cohort_role,parent_edc_group,is_edc
0,1,internal_logo_validation,0,True
1,1,internal_logo_validation,1,True
2,1,internal_logo_validation,2,True
3,1,internal_logo_validation,3,True
4,1,internal_logo_validation,4,True
5,1,internal_logo_validation,5,True
6,1,internal_logo_validation,6,True
7,1,internal_logo_validation,7,True
8,1,internal_logo_validation,8,True
9,1,internal_logo_validation,9,True
10,1,internal_logo_validation,10,True
11,1,internal_logo_validation,11,True
12,1,internal_logo_validation,12,True
13,1,internal_logo_validation,13,True
14,1,internal_logo_validation,14,True
15,1,internal_logo_validation,15,True
16,1,internal_logo_validation,16,True
17,1,internal_logo_validation,17,True
18,1,internal_logo_validation,18,True
19,1,internal_logo_validation,19,True
20,1,internal_logo_validation,20,True
21,1,internal_logo_validation,21,True
22,1,internal_logo_validation,22,True
23,1,internal_logo_validation,23,True
24,1,internal_logo_validation,24,True
25,1,internal_logo_validation,25,True
26,1,internal_logo_validation,26,True
27,1,internal_logo_validation,27,True
28,1,internal_logo_validation,28,True
29,1,internal_logo_validation,29,True
30,1,internal_logo_validation,30,True
31,1,internal_logo_validation,31,True
32,1,internal_logo_validation,32,True
33,1,internal_logo_validation,33,True
34,1,internal_logo_validation,34,True
35,1,internal_logo_validation,35,True
36,1,internal_logo_validation,36,True
37,1,internal_logo_validation,37,True
38,1,internal_logo_validation,38,True
39,1,internal_logo_validation,39,True
40,1,internal_logo_validation,40,True
41,1,internal_logo_validation,41,True
42,1,internal_logo_validation,42,True
43,1,internal_logo_validation,43,True
44,1,internal_logo_validation,44,True
45,1,internal_logo_validation,45,True
46,1,internal_logo_validation,46,True
47,1,internal_logo_validation,47,True
48,1,internal_logo_validation,48,True
49,1,internal_logo_validation,49,True
50,1,internal_logo_validation,50,True
51,1,internal_logo_validation,51,True
52,1,internal_logo_validation,52,True
53,1,internal_logo_validation,53,True
54,1,internal_logo_validation,54,True
55,1,internal_logo_validation,55,True
56,1,internal_logo_validation,56,True
57,1,internal_logo_validation,57,True
58,1,internal_logo_validation,58,True
59,1,internal_logo_validation,59,True
60,1,internal_logo_validation,60,True
61,1,internal_logo_validation,61,True
62,1,internal_logo_validation,62,True
63,1,internal_logo_validation,63,True
64,1,internal_logo_validation,64,True
65,1,internal_logo_validation,65,True
66,1,internal_logo_validation,66,True
67,1,internal_logo_validation,67,True
68,1,internal_logo_validation,68,True
