bootstrap_iteration,pr_auc,roc_auc,precision,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
1,0.9007271581518648,0.9872123151958543,0.9,0.6666666666666666,0.9925925925925926,0.8296296296296296,0.7562495338185156,0.7659574468085106,0.9629629629629629,0.5,54,804,6,27
2,0.8434933312414414,0.9818930041152264,0.8666666666666667,0.6419753086419753,0.9901234567901235,0.8160493827160493,0.7250931859832958,0.7375886524822695,0.9584736251402918,0.5,52,802,8,29
3,0.7644742311065021,0.9762383782959914,0.8142857142857143,0.7037037037037037,0.9839506172839506,0.8438271604938272,0.7347415440772388,0.7549668874172185,0.9584736251402918,0.5,57,797,13,24
4,0.8252068579813553,0.9818167962200884,0.8285714285714286,0.7160493827160493,0.9851851851851852,0.8506172839506172,0.7492517002439347,0.7682119205298013,0.9607182940516273,0.5,58,798,12,23
5,0.8352475918349712,0.9755677488187776,0.85,0.6296296296296297,0.9888888888888889,0.8092592592592593,0.7095150120656859,0.723404255319149,0.9562289562289562,0.5,51,801,9,30
6,0.8088237942499489,0.9705227861606462,0.8769230769230769,0.7037037037037037,0.9901234567901235,0.8469135802469137,0.7669898444528196,0.7808219178082192,0.9640852974186308,0.5,57,802,8,24
7,0.8407964167360216,0.9815881725346745,0.8484848484848485,0.691358024691358,0.9876543209876543,0.8395061728395061,0.7453559924999299,0.7619047619047619,0.9607182940516273,0.5,56,800,10,25
8,0.822737532173246,0.9892089620484682,0.8235294117647058,0.691358024691358,0.9851851851851852,0.8382716049382716,0.7325312971818122,0.7516778523489933,0.9584736251402918,0.5,56,798,12,25
9,0.7873336531383641,0.9807346441091296,0.8356164383561644,0.7530864197530864,0.9851851851851852,0.8691358024691358,0.7738612527905241,0.7922077922077922,0.9640852974186308,0.5,61,798,12,20
10,0.8187883975452592,0.9592745008382868,0.796875,0.6296296296296297,0.9839506172839506,0.8067901234567901,0.6831461843484474,0.7034482758620689,0.9517396184062851,0.5,51,797,13,30
11,0.9067783710609139,0.9931108062795306,0.9310344827586207,0.6666666666666666,0.9950617283950617,0.8308641975308642,0.7711312304602996,0.776978417266187,0.9652076318742986,0.5,54,806,4,27
12,0.7669927980093717,0.971970736168267,0.7972972972972973,0.7283950617283951,0.9814814814814815,0.8549382716049383,0.7395047306702291,0.7612903225806451,0.9584736251402918,0.5,59,795,15,22
13,0.8183450184019326,0.9821673525377228,0.9,0.7777777777777778,0.991358024691358,0.884567901234568,0.8218024810774143,0.8344370860927153,0.9719416386083053,0.5,63,803,7,18
14,0.7688827204634116,0.9805669867398262,0.8333333333333334,0.6790123456790124,0.9864197530864197,0.832716049382716,0.7304488726499313,0.7482993197278912,0.9584736251402918,0.5,55,799,11,26
