heldout_parent_group,heldout_edc_graph_id,n_train_graphs,n_train_edcs,n_train_non_edcs,n_test_graphs,n_test_edcs,n_test_non_edcs,edc_probability,edc_prediction,edc_rank_within_group,n_decoys_predicted_edc,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,batch_size,dropout,pr_auc,roc_auc,precision,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
0,0,880,80,800,11,1,10,0.8339441418647766,1,1,1,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.5,1.0,0.9,0.95,0.6708203932499369,0.6666666666666666,0.9090909090909091,0.5,1,9,1,0
1,1,880,80,800,11,1,10,0.8068621754646301,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
2,2,880,80,800,11,1,10,0.9924598336219788,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
3,3,880,80,800,11,1,10,0.36870062351226807,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
4,4,880,80,800,11,1,10,0.95363450050354,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
5,5,880,80,800,11,1,10,0.9637690186500549,1,2,1,60,40,20,0.0005,0.0005,64,0.5,0.5,0.9,0.5,1.0,0.9,0.95,0.6708203932499369,0.6666666666666666,0.9090909090909091,0.5,1,9,1,0
6,6,880,80,800,11,1,10,0.9878115057945251,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
7,7,880,80,800,11,1,10,0.43504372239112854,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
8,8,880,80,800,11,1,10,0.5516160726547241,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
9,9,880,80,800,11,1,10,0.9421181678771973,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
10,10,880,80,800,11,1,10,0.5767508149147034,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
11,11,880,80,800,11,1,10,0.9423547387123108,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
12,12,880,80,800,11,1,10,0.9895813465118408,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
13,13,880,80,800,11,1,10,0.3870212435722351,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
14,14,880,80,800,11,1,10,0.933789074420929,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
15,15,880,80,800,11,1,10,0.9886029958724976,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
16,16,880,80,800,11,1,10,0.9330634474754333,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
17,17,880,80,800,11,1,10,0.9316865801811218,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
18,18,880,80,800,11,1,10,0.9853608012199402,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
19,19,880,80,800,11,1,10,0.9339678883552551,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
20,20,880,80,800,11,1,10,0.9515743851661682,1,2,1,60,40,20,0.0005,0.0005,64,0.5,0.5,0.9,0.5,1.0,0.9,0.95,0.6708203932499369,0.6666666666666666,0.9090909090909091,0.5,1,9,1,0
21,21,880,80,800,11,1,10,0.9876232147216797,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
22,22,880,80,800,11,1,10,0.9415281414985657,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
23,23,880,80,800,11,1,10,0.9546788334846497,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
24,24,880,80,800,11,1,10,0.9554340839385986,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
25,25,880,80,800,11,1,10,0.9926918148994446,1,1,1,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.5,1.0,0.9,0.95,0.6708203932499369,0.6666666666666666,0.9090909090909091,0.5,1,9,1,0
26,26,880,80,800,11,1,10,0.47166338562965393,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
27,27,880,80,800,11,1,10,0.9546140432357788,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
28,28,880,80,800,11,1,10,0.9880300164222717,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
29,29,880,80,800,11,1,10,0.45830658078193665,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
30,30,880,80,800,11,1,10,0.9591185450553894,1,2,1,60,40,20,0.0005,0.0005,64,0.5,0.5,0.9,0.5,1.0,0.9,0.95,0.6708203932499369,0.6666666666666666,0.9090909090909091,0.5,1,9,1,0
31,31,880,80,800,11,1,10,0.9591687917709351,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
32,32,880,80,800,11,1,10,0.4584919512271881,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
33,33,880,80,800,11,1,10,0.943771243095398,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
34,34,880,80,800,11,1,10,0.9562472105026245,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
35,35,880,80,800,11,1,10,0.9625263810157776,1,1,1,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.5,1.0,0.9,0.95,0.6708203932499369,0.6666666666666666,0.9090909090909091,0.5,1,9,1,0
36,36,880,80,800,11,1,10,0.49128469824790955,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
37,37,880,80,800,11,1,10,0.9578122496604919,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
38,38,880,80,800,11,1,10,0.9596704244613647,1,1,1,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.5,1.0,0.9,0.95,0.6708203932499369,0.6666666666666666,0.9090909090909091,0.5,1,9,1,0
39,39,880,80,800,11,1,10,0.95346599817276,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
40,40,880,80,800,11,1,10,0.49303603172302246,0,2,1,60,40,20,0.0005,0.0005,64,0.5,0.5,0.9,0.0,0.0,0.9,0.45,-0.1,0.0,0.8181818181818182,0.5,0,9,1,1
41,41,880,80,800,11,1,10,0.9604666233062744,1,1,1,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.5,1.0,0.9,0.95,0.6708203932499369,0.6666666666666666,0.9090909090909091,0.5,1,9,1,0
