heldout_parent_group,edc_graph_id,edc_probability,edc_prediction,edc_rank_within_11_compound_group,n_decoys_predicted_edc
0,0,0.8339441418647766,1,1,1
1,1,0.8068621754646301,1,1,0
2,2,0.9924598336219788,1,1,0
3,3,0.368700623512268,0,1,0
4,4,0.95363450050354,1,1,0
5,5,0.9637690186500548,1,2,1
6,6,0.9878115057945251,1,1,0
7,7,0.4350437223911285,0,1,0
8,8,0.5516160726547241,1,1,0
9,9,0.9421181678771972,1,1,0
10,10,0.5767508149147034,1,1,0
11,11,0.9423547387123108,1,1,0
12,12,0.9895813465118408,1,1,0
13,13,0.3870212435722351,0,1,0
14,14,0.933789074420929,1,1,0
15,15,0.9886029958724976,1,1,0
16,16,0.9330634474754332,1,1,0
17,17,0.9316865801811218,1,1,0
18,18,0.9853608012199402,1,1,0
19,19,0.9339678883552552,1,1,0
20,20,0.9515743851661682,1,2,1
21,21,0.9876232147216796,1,1,0
22,22,0.9415281414985656,1,1,0
23,23,0.9546788334846495,1,1,0
24,24,0.9554340839385986,1,1,0
25,25,0.9926918148994446,1,1,1
26,26,0.4716633856296539,0,1,0
27,27,0.9546140432357788,1,1,0
28,28,0.9880300164222716,1,1,0
29,29,0.4583065807819366,0,1,0
30,30,0.9591185450553894,1,2,1
31,31,0.9591687917709352,1,1,0
32,32,0.4584919512271881,0,1,0
33,33,0.943771243095398,1,1,0
34,34,0.9562472105026244,1,1,0
35,35,0.9625263810157776,1,1,1
36,36,0.4912846982479095,0,1,0
37,37,0.957812249660492,1,1,0
38,38,0.9596704244613647,1,1,1
39,39,0.95346599817276,1,1,0
40,40,0.4930360317230224,0,2,1
41,41,0.9604666233062744,1,1,1
42,42,0.3101216554641723,0,1,0
43,43,0.313678115606308,0,1,0
44,44,0.3282753825187683,0,1,0
45,45,0.4245399534702301,0,1,0
46,46,0.99293714761734,1,1,0
47,47,0.993314802646637,1,1,0
48,48,0.48005011677742,0,1,0
49,49,0.4420429170131683,0,1,0
50,50,0.6703612208366394,1,1,0
51,51,0.023749915882945,0,2,0
52,52,0.407100111246109,0,1,0
53,53,0.3285496234893799,0,1,0
54,54,0.3872988820075989,0,1,0
55,55,0.98726487159729,1,1,0
56,56,0.9540923237800598,1,1,0
57,57,0.9875625371932985,1,1,0
58,58,0.9552485942840576,1,1,0
59,59,0.2679040729999542,0,1,0
60,60,0.2630310356616974,0,2,0
61,61,0.9643807411193848,1,1,0
62,62,0.9897906184196472,1,1,0
63,63,0.989641010761261,1,1,0
64,64,0.461290031671524,0,1,0
65,65,0.467715322971344,0,1,0
66,66,0.0015011467039585,0,7,0
67,67,0.94618558883667,1,1,0
68,68,0.9474120736122132,1,1,0
69,69,0.5569565892219543,1,1,0
70,70,0.4551310539245605,0,1,0
71,71,0.0237467214465141,0,2,0
72,72,0.9302805066108704,1,1,0
73,73,0.941145658493042,1,1,0
74,74,0.9401041865348816,1,1,0
75,75,0.764398992061615,1,1,0
76,76,0.7782757878303528,1,1,0
77,77,0.7411174178123474,1,1,0
78,78,0.9861063957214355,1,1,0
79,79,0.927551805973053,1,1,0
80,80,0.9309573173522948,1,1,0
