graph_id,label,cohort_role,parent_edc_group
0,1,internal_ratio_sensitivity,0
1,1,internal_ratio_sensitivity,1
2,1,internal_ratio_sensitivity,2
3,1,internal_ratio_sensitivity,3
4,1,internal_ratio_sensitivity,4
5,1,internal_ratio_sensitivity,5
6,1,internal_ratio_sensitivity,6
7,1,internal_ratio_sensitivity,7
8,1,internal_ratio_sensitivity,8
9,1,internal_ratio_sensitivity,9
10,1,internal_ratio_sensitivity,10
11,1,internal_ratio_sensitivity,11
12,1,internal_ratio_sensitivity,12
13,1,internal_ratio_sensitivity,13
14,1,internal_ratio_sensitivity,14
15,1,internal_ratio_sensitivity,15
16,1,internal_ratio_sensitivity,16
17,1,internal_ratio_sensitivity,17
18,1,internal_ratio_sensitivity,18
19,1,internal_ratio_sensitivity,19
20,1,internal_ratio_sensitivity,20
21,1,internal_ratio_sensitivity,21
22,1,internal_ratio_sensitivity,22
23,1,internal_ratio_sensitivity,23
24,1,internal_ratio_sensitivity,24
25,1,internal_ratio_sensitivity,25
26,1,internal_ratio_sensitivity,26
27,1,internal_ratio_sensitivity,27
28,1,internal_ratio_sensitivity,28
29,1,internal_ratio_sensitivity,29
30,1,internal_ratio_sensitivity,30
31,1,internal_ratio_sensitivity,31
32,1,internal_ratio_sensitivity,32
33,1,internal_ratio_sensitivity,33
34,1,internal_ratio_sensitivity,34
35,1,internal_ratio_sensitivity,35
36,1,internal_ratio_sensitivity,36
37,1,internal_ratio_sensitivity,37
38,1,internal_ratio_sensitivity,38
39,1,internal_ratio_sensitivity,39
40,1,internal_ratio_sensitivity,40
41,1,internal_ratio_sensitivity,41
42,1,internal_ratio_sensitivity,42
43,1,internal_ratio_sensitivity,43
44,1,internal_ratio_sensitivity,44
45,1,internal_ratio_sensitivity,45
46,1,internal_ratio_sensitivity,46
47,1,internal_ratio_sensitivity,47
48,1,internal_ratio_sensitivity,48
49,1,internal_ratio_sensitivity,49
50,1,internal_ratio_sensitivity,50
51,1,internal_ratio_sensitivity,51
52,1,internal_ratio_sensitivity,52
53,1,internal_ratio_sensitivity,53
54,1,internal_ratio_sensitivity,54
55,1,internal_ratio_sensitivity,55
56,1,internal_ratio_sensitivity,56
57,1,internal_ratio_sensitivity,57
58,1,internal_ratio_sensitivity,58
59,1,internal_ratio_sensitivity,59
60,1,internal_ratio_sensitivity,60
61,1,internal_ratio_sensitivity,61
62,1,internal_ratio_sensitivity,62
63,1,internal_ratio_sensitivity,63
64,1,internal_ratio_sensitivity,64
65,1,internal_ratio_sensitivity,65
66,1,internal_ratio_sensitivity,66
67,1,internal_ratio_sensitivity,67
68,1,internal_ratio_sensitivity,68
69,1,internal_ratio_sensitivity,69
70,1,internal_ratio_sensitivity,70
71,1,internal_ratio_sensitivity,71
72,1,internal_ratio_sensitivity,72
73,1,internal_ratio_sensitivity,73
74,1,internal_ratio_sensitivity,74
75,1,internal_ratio_sensitivity,75
76,1,internal_ratio_sensitivity,76
77,1,internal_ratio_sensitivity,77
78,1,internal_ratio_sensitivity,78
79,1,internal_ratio_sensitivity,79
80,1,internal_ratio_sensitivity,80
81,1,external_excluded,-1
82,1,external_excluded,-1
83,1,external_excluded,-1
84,1,external_excluded,-1
85,1,external_excluded,-1
86,1,external_excluded,-1
87,0,internal_ratio_sensitivity,0
88,0,internal_ratio_sensitivity,0
89,0,internal_ratio_sensitivity,0
90,0,internal_ratio_sensitivity,0
91,0,internal_ratio_sensitivity,0
92,0,internal_ratio_sensitivity,0
93,0,internal_ratio_sensitivity,0
94,0,internal_ratio_sensitivity,0
95,0,internal_ratio_sensitivity,0
96,0,internal_ratio_sensitivity,0
97,0,internal_ratio_sensitivity,1
98,0,internal_ratio_sensitivity,1
99,0,internal_ratio_sensitivity,1
100,0,internal_ratio_sensitivity,1
101,0,internal_ratio_sensitivity,1
102,0,internal_ratio_sensitivity,1
103,0,internal_ratio_sensitivity,1
104,0,internal_ratio_sensitivity,1
105,0,internal_ratio_sensitivity,1
106,0,internal_ratio_sensitivity,1
107,0,internal_ratio_sensitivity,2
108,0,internal_ratio_sensitivity,2
109,0,internal_ratio_sensitivity,2
110,0,internal_ratio_sensitivity,2
111,0,internal_ratio_sensitivity,2
112,0,internal_ratio_sensitivity,2
113,0,internal_ratio_sensitivity,2
114,0,internal_ratio_sensitivity,2
115,0,internal_ratio_sensitivity,2
116,0,internal_ratio_sensitivity,2
117,0,internal_ratio_sensitivity,3
118,0,internal_ratio_sensitivity,3
119,0,internal_ratio_sensitivity,3
120,0,internal_ratio_sensitivity,3
121,0,internal_ratio_sensitivity,3
122,0,internal_ratio_sensitivity,3
123,0,internal_ratio_sensitivity,3
124,0,internal_ratio_sensitivity,3
125,0,internal_ratio_sensitivity,3
126,0,internal_ratio_sensitivity,3
127,0,internal_ratio_sensitivity,4
128,0,internal_ratio_sensitivity,4
129,0,internal_ratio_sensitivity,4
130,0,internal_ratio_sensitivity,4
131,0,internal_ratio_sensitivity,4
132,0,internal_ratio_sensitivity,4
133,0,internal_ratio_sensitivity,4
134,0,internal_ratio_sensitivity,4
135,0,internal_ratio_sensitivity,4
136,0,internal_ratio_sensitivity,4
137,0,internal_ratio_sensitivity,5
138,0,internal_ratio_sensitivity,5
139,0,internal_ratio_sensitivity,5
140,0,internal_ratio_sensitivity,5
141,0,internal_ratio_sensitivity,5
142,0,internal_ratio_sensitivity,5
143,0,internal_ratio_sensitivity,5
144,0,internal_ratio_sensitivity,5
145,0,internal_ratio_sensitivity,5
146,0,internal_ratio_sensitivity,5
147,0,internal_ratio_sensitivity,6
148,0,internal_ratio_sensitivity,6
149,0,internal_ratio_sensitivity,6
150,0,internal_ratio_sensitivity,6
151,0,internal_ratio_sensitivity,6
152,0,internal_ratio_sensitivity,6
153,0,internal_ratio_sensitivity,6
154,0,internal_ratio_sensitivity,6
155,0,internal_ratio_sensitivity,6
156,0,internal_ratio_sensitivity,6
157,0,internal_ratio_sensitivity,7
158,0,internal_ratio_sensitivity,7
159,0,internal_ratio_sensitivity,7
160,0,internal_ratio_sensitivity,7
161,0,internal_ratio_sensitivity,7
162,0,internal_ratio_sensitivity,7
163,0,internal_ratio_sensitivity,7
164,0,internal_ratio_sensitivity,7
165,0,internal_ratio_sensitivity,7
166,0,internal_ratio_sensitivity,7
167,0,internal_ratio_sensitivity,8
168,0,internal_ratio_sensitivity,8
169,0,internal_ratio_sensitivity,8
170,0,internal_ratio_sensitivity,8
171,0,internal_ratio_sensitivity,8
