ratio,negative_ratio,sampling_round,outer_fold,n_selected_total,n_train_graphs,n_validation_graphs,n_test_graphs,n_train_edcs,n_train_non_edcs,n_validation_edcs,n_validation_non_edcs,n_test_edcs,n_test_non_edcs,best_epoch,best_validation_pr_auc,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,pr_auc,roc_auc,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
1,1:1,1,1,162,128,26,34,64,64,13,13,17,17,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9771394455217985,0.9792387543252595,1.0,0.5294117647058824,0.7647058823529411,0.6,0.8095238095238095,0.7647058823529411,0.58,17,9,8,0
1,1:1,1,2,162,130,26,32,65,65,13,13,16,16,5,0.941003463473099,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.9375,0.96875,0.9393364366277243,0.9696969696969697,0.96875,0.57,16,15,1,0
1,1:1,1,3,162,130,26,32,65,65,13,13,16,16,33,0.9454231665770128,60,40,20,0.0005,0.0005,0.5,1.0,1.0,0.9375,1.0,0.96875,0.9393364366277243,0.967741935483871,0.96875,0.5399999999999999,15,16,0,1
1,1:1,1,4,162,130,26,32,65,65,13,13,16,16,1,0.9999999999999998,60,40,20,0.0005,0.0005,0.5,0.9737703013897867,0.9765625,0.875,0.9375,0.90625,0.8140915784106943,0.9032258064516129,0.90625,0.37999999999999995,14,15,1,2
1,1:1,1,5,162,130,26,32,65,65,13,13,16,16,10,0.9945054945054945,60,40,20,0.0005,0.0005,0.5,0.9809782608695652,0.97265625,0.875,1.0,0.9375,0.8819171036881969,0.9333333333333333,0.9375,0.48999999999999994,14,16,0,2
1,1:1,2,1,162,128,26,34,64,64,13,13,17,17,3,0.9885883347421809,60,40,20,0.0005,0.0005,0.5,0.9814720986433789,0.9826989619377162,0.7058823529411765,0.9411764705882353,0.8235294117647058,0.6657502859356826,0.8000000000000002,0.8235294117647058,0.4749999999999999,12,16,1,5
1,1:1,2,2,162,130,26,32,65,65,13,13,16,16,10,0.9774161735700198,60,40,20,0.0005,0.0005,0.5,0.9829545454545454,0.9765625,0.9375,0.625,0.78125,0.592156525463792,0.8108108108108109,0.78125,0.4599999999999999,15,10,6,1
1,1:1,2,3,162,130,26,32,65,65,13,13,16,16,1,0.9786324786324785,60,40,20,0.0005,0.0005,0.5,0.9963235294117647,0.99609375,1.0,0.625,0.8125,0.674199862463242,0.8421052631578948,0.8125,0.615,16,10,6,0
1,1:1,2,4,162,130,26,32,65,65,13,13,16,16,1,0.9999999999999999,60,40,20,0.0005,0.0005,0.5,0.9683861022555875,0.97265625,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.38499999999999995,15,15,1,1
1,1:1,2,5,162,130,26,32,65,65,13,13,16,16,49,0.9885883347421809,60,40,20,0.0005,0.0005,0.5,0.9963235294117647,0.99609375,1.0,0.9375,0.96875,0.9393364366277243,0.9696969696969697,0.96875,0.5049999999999999,16,15,1,0
1,1:1,3,1,162,128,26,34,64,64,13,13,17,17,1,0.973076923076923,60,40,20,0.0005,0.0005,0.5,1.0,1.0,0.7647058823529411,1.0,0.8823529411764706,0.7867957924694431,0.8666666666666666,0.8823529411764706,0.5399999999999999,13,17,0,4
1,1:1,3,2,162,130,26,32,65,65,13,13,16,16,14,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4549999999999999,16,0,16,0
1,1:1,3,3,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,0.5,1.0,0.75,0.5773502691896258,0.6666666666666666,0.75,0.4499999999999999,8,16,0,8
1,1:1,3,4,162,130,26,32,65,65,13,13,16,16,26,0.9999999999999998,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4649999999999999,16,0,16,0
1,1:1,3,5,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,0.8693602781578325,0.91796875,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,4,1,162,128,26,34,64,64,13,13,17,17,9,0.9497530247530248,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.8823529411764706,0.9411764705882353,0.8885233166386385,0.9444444444444444,0.9411764705882353,0.4799999999999999,17,15,2,0
1,1:1,4,2,162,130,26,32,65,65,13,13,16,16,23,1.0,60,40,20,0.0005,0.0005,0.5,0.9559891242336096,0.96875,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4799999999999999,16,0,16,0
1,1:1,4,3,162,130,26,32,65,65,13,13,16,16,5,0.9885883347421809,60,40,20,0.0005,0.0005,0.5,0.9790482954545454,0.97265625,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.43499999999999994,16,0,16,0
