negative_ratio,decoys_per_edc,metric,mean,median,std,q25,q75,min,max,bootstrap_mean_ci_2.5%,bootstrap_mean_ci_97.5%,n_sampling_rounds
1:1,1,pr_auc,0.9724153779070603,0.9796673271402374,0.02934618067150046,0.9656541906814239,0.9874043471543945,0.8420202485957213,0.9992737835875091,0.9625920045222418,0.9793380693119726,50
1:1,1,roc_auc,0.9713480392156864,0.9795524691358025,0.041314016204142955,0.9725399419026871,0.9855777959331882,0.7708333333333334,0.9992283950617284,0.958465969952796,0.9806886574074073,50
1:1,1,recall,0.9276543209876543,0.9259259259259259,0.05643794091441647,0.8888888888888888,0.9753086419753086,0.7654320987654321,1.0,0.9123456790123455,0.9424691358024692,50
1:1,1,specificity,0.4893827160493827,0.43209876543209874,0.2027184768289937,0.33641975308641975,0.5925925925925926,0.0,0.9135802469135802,0.4348148148148148,0.5446913580246914,50
1:1,1,balanced_accuracy,0.7085185185185184,0.691358024691358,0.08915069155642408,0.6419753086419753,0.7685185185185185,0.5,0.9074074074074074,0.683824074074074,0.7332098765432099,50
1:1,1,mcc,0.4673641131779695,0.4635086089556501,0.15803029227316442,0.3590623588805342,0.5784740343862178,0.0,0.8163716483922342,0.42484833967187113,0.5090401717647685,50
1:1,1,f1_score,0.7650662022908296,0.7571373500532892,0.05614212099147639,0.7241118164606304,0.8046303149930093,0.6666666666666666,0.9101796407185628,0.7503582665139533,0.7812052742145607,50
1:1,1,accuracy,0.7085185185185184,0.691358024691358,0.08915069155642406,0.6419753086419753,0.7685185185185185,0.5,0.9074074074074074,0.6851851851851852,0.7328425925925924,50
1:2,2,pr_auc,0.9609540372896322,0.9675583279427448,0.017690127214817473,0.9499739966850914,0.9730939887141801,0.9112535742032961,0.9900819884609015,0.9558639582791524,0.9656490424196695,50
1:2,2,roc_auc,0.9801983478576615,0.982746686637618,0.00880393694295355,0.9762107389251997,0.9854586510530138,0.9410289578794481,0.9935775236020334,0.9775973300199708,0.9823737518155412,50
1:2,2,recall,0.9014814814814816,0.9135802469135802,0.0837135211052034,0.8549382716049383,0.9722222222222222,0.6666666666666666,1.0,0.8780246913580245,0.9244506172839505,50
1:2,2,specificity,0.6571604938271605,0.7067901234567902,0.20131025538660494,0.5046296296296297,0.7885802469135802,0.20987654320987653,0.9753086419753086,0.6013580246913581,0.7117283950617284,50
1:2,2,balanced_accuracy,0.7793209876543211,0.7901234567901234,0.09337922758610324,0.7137345679012346,0.8395061728395061,0.5740740740740741,0.9691358024691358,0.7533333333333333,0.805679012345679,50
1:2,2,mcc,0.5472956793089916,0.5511477570350964,0.17100973689680568,0.4156022022589846,0.6728970123175777,0.19026059766179765,0.935424468636976,0.5009462758067579,0.5950034631183307,50
1:2,2,f1_score,0.7104688398504977,0.7094432299678839,0.10105204024151701,0.6310205054840248,0.7803827751196172,0.5333333333333333,0.9570552147239264,0.6829336788679132,0.738278456214548,50
1:2,2,accuracy,0.7386008230452674,0.7695473251028807,0.1264037294581783,0.6440329218106996,0.8364197530864197,0.45267489711934156,0.9711934156378601,0.7029629629629632,0.7716872427983539,50
1:5,5,pr_auc,0.9215532082192197,0.9223671941191436,0.019936317311599464,0.9082964780983228,0.9338221764281313,0.879464659623185,0.9665191009585432,0.9160919526320349,0.9272588294785199,50
1:5,5,roc_auc,0.982681281771968,0.9837259440813362,0.004476167366976404,0.9811376633986929,0.9855324074074072,0.9647467320261437,0.9895515613652869,0.9813597335693537,0.983833700980392,50
1:5,5,recall,0.8723456790123456,0.9012345679012346,0.09190083409637412,0.8024691358024691,0.9382716049382716,0.6419753086419753,1.0,0.8471604938271605,0.89679012345679,50
1:5,5,specificity,0.7361975308641976,0.7666666666666666,0.19191783134336224,0.5876543209876544,0.9358024691358025,0.18765432098765433,0.9876543209876543,0.6823197530864199,0.7899283950617284,50
1:5,5,balanced_accuracy,0.8042716049382714,0.7969135802469136,0.07840065011635197,0.7512345679012347,0.8620370370370369,0.5938271604938272,0.9407407407407407,0.7822709876543209,0.8255814814814814,50
1:5,5,mcc,0.5234799357185647,0.4722115665527251,0.1860046557794026,0.3854572336866371,0.7093035140542183,0.19254394493649318,0.8446039227799874,0.47341355489204373,0.5741232858049471,50
1:5,5,f1_score,0.5915858736702098,0.5500636710933235,0.15896259858641004,0.4655078961148726,0.7420743639921722,0.329938900203666,0.8705882352941177,0.5494801401863748,0.6366402611856502,50
1:5,5,accuracy,0.7588888888888888,0.772633744855967,0.15145583013004157,0.6419753086419753,0.9171810699588477,0.3230452674897119,0.9547325102880658,0.7152674897119341,0.8003703703703703,50
1:10,10,pr_auc,0.8643520296594953,0.863599095253121,0.011047680289444008,0.8578375105828714,0.8731753105652104,0.8380932484495685,0.8833558000268064,0.8613128912415832,0.8672828428708366,50
1:10,10,roc_auc,0.9839089960058096,0.9841196895424835,0.0028474446025772687,0.9832425562817719,0.985511415214234,0.9728758169934639,0.9891362563543937,0.9830648511256354,0.9846322008896151,50
1:10,10,recall,0.8125925925925925,0.8271604938271604,0.09729601034354453,0.7345679012345679,0.8765432098765432,0.5185185185185185,0.9876543209876543,0.7854320987654322,0.8392592592592593,50
1:10,10,specificity,0.8509876543209876,0.884567901234568,0.1385108092720041,0.7787037037037037,0.9734567901234568,0.39382716049382716,0.9888888888888889,0.8107876543209876,0.8880271604938272,50
1:10,10,balanced_accuracy,0.8317901234567903,0.8339506172839506,0.06921002678879275,0.7935185185185185,0.8728395061728395,0.6290123456790123,0.95,0.8131845679012345,0.8507783950617283,50
1:10,10,mcc,0.5432959454473636,0.5056508597576043,0.1954330028960228,0.39221466523111626,0.7451841876716283,0.1536058958563442,0.8374782761443419,0.4894597131046833,0.5966508716397912,50
1:10,10,f1_score,0.5645640788279042,0.5368362831858406,0.1915391427830031,0.4102466617210682,0.7669484140815616,0.21806853582554517,0.8520710059171598,0.5133971928000969,0.6182696121987138,50
1:10,10,accuracy,0.8474971941638607,0.8804713804713804,0.12308280070420011,0.7808641975308642,0.9551066217732884,0.43658810325476993,0.9719416386083053,0.8113563411896745,0.8797991021324355,50
