ratio,negative_ratio,sampling_round,n_outer_folds,n_samples,n_edcs,n_non_edcs,pr_auc,roc_auc,ranking_metric_aggregation,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,tp,tn,fp,fn,threshold_mean,threshold_sd
1,1:1,1,5,162,81,81,0.9862635502471631,0.9856118373275237,test-size-weighted outer-fold mean,0.9382716049382716,0.8765432098765432,0.9074074074074074,0.8163716483922342,0.9101796407185628,0.9074074074074074,76,71,10,5,0.5128395061728394,0.0816700679563817
1,1:1,2,5,162,81,81,0.9850472713762475,0.9847948438634713,test-size-weighted outer-fold mean,0.9135802469135802,0.8148148148148148,0.8641975308641975,0.7319738706183233,0.8705882352941177,0.8641975308641975,74,66,15,7,0.48783950617283944,0.08363611660042572
1,1:1,3,5,162,81,81,0.9741946228459916,0.9837962962962963,test-size-weighted outer-fold mean,0.8518518518518519,0.4074074074074074,0.6296296296296297,0.28941438070815306,0.696969696969697,0.6296296296296297,69,33,48,12,0.482716049382716,0.037848381735551134
1,1:1,4,5,162,81,81,0.9800491246025015,0.9818672839506173,test-size-weighted outer-fold mean,0.9135802469135802,0.5679012345679012,0.7407407407407407,0.5131134789411353,0.7789473684210526,0.7407407407407407,74,46,35,7,0.47999999999999987,0.028062430400804562
1,1:1,5,5,162,81,81,0.9707333546385835,0.9795524691358025,test-size-weighted outer-fold mean,0.8765432098765432,0.3333333333333333,0.6049382716049383,0.24997297151189465,0.6893203883495146,0.6049382716049383,71,27,54,10,0.47530864197530853,0.02645751311064591
1,1:1,6,5,162,81,81,0.9750264576375214,0.979257443718228,test-size-weighted outer-fold mean,0.9506172839506173,0.20987654320987653,0.5802469135802469,0.23890440011532088,0.6936936936936937,0.5802469135802469,77,17,64,4,0.5304938271604938,0.16068602926203637
1,1:1,7,5,162,81,81,0.995632615185992,0.9953703703703703,test-size-weighted outer-fold mean,0.9012345679012346,0.9135802469135802,0.9074074074074074,0.8148769172359114,0.906832298136646,0.9074074074074074,73,74,7,8,0.4791358024691357,0.04669047011971501
1,1:1,8,5,162,81,81,0.9833314641427743,0.9807552650689905,test-size-weighted outer-fold mean,0.9876543209876543,0.38271604938271603,0.6851851851851851,0.4651302547095317,0.7582938388625592,0.6851851851851852,80,31,50,1,0.43870370370370365,0.0823862852664204
1,1:1,9,5,162,81,81,0.9652117224339447,0.9714506172839507,test-size-weighted outer-fold mean,0.8765432098765432,0.7901234567901234,0.8333333333333333,0.6691701560804231,0.8402366863905325,0.8333333333333334,71,64,17,10,0.49462962962962953,0.1758195097251724
1,1:1,10,5,162,81,81,0.9809018777156033,0.9717683369644154,test-size-weighted outer-fold mean,1.0,0.16049382716049382,0.5802469135802469,0.295378269592824,0.7043478260869566,0.5802469135802469,81,13,68,0,0.48518518518518505,0.021213203435596416
1,1:1,11,5,162,81,81,0.9610171654673433,0.958855301379811,test-size-weighted outer-fold mean,0.9876543209876543,0.2839506172839506,0.6358024691358024,0.3822764257713038,0.730593607305936,0.6358024691358025,80,23,58,1,0.5005555555555555,0.028062430400804573
1,1:1,12,5,162,81,81,0.9629315629097763,0.9702932098765432,test-size-weighted outer-fold mean,0.8641975308641975,0.7654320987654321,0.8148148148148148,0.6327231762971947,0.8235294117647058,0.8148148148148148,70,62,19,11,0.5549999999999999,0.07288689868556628
1,1:1,13,5,162,81,81,0.9781608571368919,0.9787127814088599,test-size-weighted outer-fold mean,1.0,0.37037037037037035,0.6851851851851851,0.4767312946227962,0.7605633802816901,0.6851851851851852,81,30,51,0,0.497037037037037,0.013038404810405286
