ratio,sampling_round,parent_edc_group,decoy_graph_id
1,1,0,93
1,2,0,87
1,3,0,91
1,4,0,92
1,5,0,88
1,6,0,94
1,7,0,96
1,8,0,89
1,9,0,95
1,10,0,90
1,11,0,88
1,12,0,95
1,13,0,89
1,14,0,96
1,15,0,93
1,16,0,92
1,17,0,87
1,18,0,94
1,19,0,90
1,20,0,91
1,21,0,90
1,22,0,93
1,23,0,92
1,24,0,89
1,25,0,94
1,26,0,95
1,27,0,87
1,28,0,96
1,29,0,91
1,30,0,88
1,31,0,94
1,32,0,91
1,33,0,93
1,34,0,87
1,35,0,89
1,36,0,88
1,37,0,90
1,38,0,96
1,39,0,95
1,40,0,92
1,41,0,91
1,42,0,92
1,43,0,90
1,44,0,93
1,45,0,96
1,46,0,95
1,47,0,87
1,48,0,94
1,49,0,88
1,50,0,89
1,1,1,103
1,2,1,106
1,3,1,98
1,4,1,104
1,5,1,102
1,6,1,97
1,7,1,101
1,8,1,100
1,9,1,105
1,10,1,99
1,11,1,103
1,12,1,106
1,13,1,105
1,14,1,97
1,15,1,100
1,16,1,102
1,17,1,99
1,18,1,98
1,19,1,104
1,20,1,101
1,21,1,104
1,22,1,100
1,23,1,101
1,24,1,102
1,25,1,97
1,26,1,103
1,27,1,105
1,28,1,98
1,29,1,99
1,30,1,106
1,31,1,105
1,32,1,100
1,33,1,101
1,34,1,104
1,35,1,97
1,36,1,98
1,37,1,99
1,38,1,106
1,39,1,102
1,40,1,103
1,41,1,103
1,42,1,99
1,43,1,102
1,44,1,97
1,45,1,105
1,46,1,104
1,47,1,106
1,48,1,101
1,49,1,98
1,50,1,100
1,1,2,114
1,2,2,115
1,3,2,110
1,4,2,111
1,5,2,107
1,6,2,112
1,7,2,109
1,8,2,113
1,9,2,116
1,10,2,108
1,11,2,116
1,12,2,109
1,13,2,113
1,14,2,110
1,15,2,107
1,16,2,114
1,17,2,111
1,18,2,108
1,19,2,115
1,20,2,112
1,21,2,109
1,22,2,116
1,23,2,111
1,24,2,110
1,25,2,112
1,26,2,114
1,27,2,108
1,28,2,107
1,29,2,113
1,30,2,115
1,31,2,115
1,32,2,116
1,33,2,108
1,34,2,107
1,35,2,114
1,36,2,112
1,37,2,109
1,38,2,111
1,39,2,110
1,40,2,113
1,41,2,107
1,42,2,116
1,43,2,115
1,44,2,114
1,45,2,111
1,46,2,110
1,47,2,108
1,48,2,113
1,49,2,109
1,50,2,112
1,1,3,125
1,2,3,124
1,3,3,123
1,4,3,118
1,5,3,117
1,6,3,120
1,7,3,119
1,8,3,126
1,9,3,122
1,10,3,121
1,11,3,122
1,12,3,126
1,13,3,118
1,14,3,117
1,15,3,125
1,16,3,120
1,17,3,121
1,18,3,123
1,19,3,119
1,20,3,124
1,21,3,121
1,22,3,123
1,23,3,118
1,24,3,122
1,25,3,126
1,26,3,119
1,27,3,120
1,28,3,124
1,29,3,125
1,30,3,117
1,31,3,126
1,32,3,121
1,33,3,120
1,34,3,119
1,35,3,118
1,36,3,123
1,37,3,125
1,38,3,122
1,39,3,124
1,40,3,117
1,41,3,119
1,42,3,118
1,43,3,125
1,44,3,126
1,45,3,121
1,46,3,124
1,47,3,123
1,48,3,122
1,49,3,117
1,50,3,120
1,1,4,129
1,2,4,136
1,3,4,130
1,4,4,131
1,5,4,134
1,6,4,132
1,7,4,135
1,8,4,128
1,9,4,133
1,10,4,127
1,11,4,132
1,12,4,135
1,13,4,129
1,14,4,130
1,15,4,136
1,16,4,133
1,17,4,131
1,18,4,127
1,19,4,134
1,20,4,128
1,21,4,136
1,22,4,131
1,23,4,134
1,24,4,135
1,25,4,128
1,26,4,133
1,27,4,129
1,28,4,127
1,29,4,130
1,30,4,132
1,31,4,134
1,32,4,135
1,33,4,127
1,34,4,131
1,35,4,133
1,36,4,129
1,37,4,128
1,38,4,130
1,39,4,132
1,40,4,136
1,41,4,135
1,42,4,130
1,43,4,132
1,44,4,127
1,45,4,128
1,46,4,131
1,47,4,129
1,48,4,136
1,49,4,133
1,50,4,134
1,1,5,137
1,2,5,145
1,3,5,138
1,4,5,140
1,5,5,146
1,6,5,142
1,7,5,144
1,8,5,139
1,9,5,143
1,10,5,141
1,11,5,145
1,12,5,141
1,13,5,139
1,14,5,138
1,15,5,140
1,16,5,137
1,17,5,146
1,18,5,143
1,19,5,142
1,20,5,144
1,21,5,137
1,22,5,144
1,23,5,146
1,24,5,139
1,25,5,143
1,26,5,142
1,27,5,141
1,28,5,138
1,29,5,145
1,30,5,140
1,31,5,138
1,32,5,144
1,33,5,140
1,34,5,139
1,35,5,137
1,36,5,146
1,37,5,142
1,38,5,143
1,39,5,141
1,40,5,145
1,41,5,137
1,42,5,143
1,43,5,138
1,44,5,142
1,45,5,144
1,46,5,141
1,47,5,139
1,48,5,145
1,49,5,140
1,50,5,146
1,1,6,155
1,2,6,147
1,3,6,150
1,4,6,153
1,5,6,151
1,6,6,156
1,7,6,148
1,8,6,154
1,9,6,149
1,10,6,152
1,11,6,151
1,12,6,153
1,13,6,152
1,14,6,155
1,15,6,148
1,16,6,154
1,17,6,147
1,18,6,150
1,19,6,149
1,20,6,156
1,21,6,147
1,22,6,150
1,23,6,152
1,24,6,155
1,25,6,154
1,26,6,148
1,27,6,156
1,28,6,151
1,29,6,149
1,30,6,153
1,31,6,152
1,32,6,156
1,33,6,154
1,34,6,151
1,35,6,153
1,36,6,147
1,37,6,148
1,38,6,149
1,39,6,150
1,40,6,155
1,41,6,155
1,42,6,147
1,43,6,154
1,44,6,153
1,45,6,152
1,46,6,149
1,47,6,151
1,48,6,148
1,49,6,150
1,50,6,156
1,1,7,157
1,2,7,161
1,3,7,165
1,4,7,166
1,5,7,160
1,6,7,162
1,7,7,158
1,8,7,159
1,9,7,163
1,10,7,164
1,11,7,157
1,12,7,158
1,13,7,163
1,14,7,160
1,15,7,162
1,16,7,161
1,17,7,164
1,18,7,165
1,19,7,159
1,20,7,166
1,21,7,163
1,22,7,158
1,23,7,162
1,24,7,165
1,25,7,157
1,26,7,161
1,27,7,166
1,28,7,164
1,29,7,159
1,30,7,160
1,31,7,157
1,32,7,162
1,33,7,164
1,34,7,158
1,35,7,163
1,36,7,159
1,37,7,166
1,38,7,161
1,39,7,160
1,40,7,165
1,41,7,166
1,42,7,157
1,43,7,164
1,44,7,165
1,45,7,160
1,46,7,162
1,47,7,161
1,48,7,158
1,49,7,159
1,50,7,163
1,1,8,175
1,2,8,169
1,3,8,176
1,4,8,167
1,5,8,168
1,6,8,170
1,7,8,174
1,8,8,172
1,9,8,173
1,10,8,171
1,11,8,175
1,12,8,173
1,13,8,174
1,14,8,169
1,15,8,167
1,16,8,176
1,17,8,170
1,18,8,168
1,19,8,171
1,20,8,172
1,21,8,175
1,22,8,174
1,23,8,170
1,24,8,176
1,25,8,172
1,26,8,167
1,27,8,168
1,28,8,173
1,29,8,169
1,30,8,171
1,31,8,171
1,32,8,176
1,33,8,169
1,34,8,168
1,35,8,170
1,36,8,175
1,37,8,172
1,38,8,167
1,39,8,173
1,40,8,174
1,41,8,173
1,42,8,169
1,43,8,171
1,44,8,172
1,45,8,176
1,46,8,168
1,47,8,175
1,48,8,167
1,49,8,170
1,50,8,174
1,1,9,184
1,2,9,177
1,3,9,182
1,4,9,179
1,5,9,183
1,6,9,186
1,7,9,178
1,8,9,181
1,9,9,185
1,10,9,180
1,11,9,181
1,12,9,185
1,13,9,186
1,14,9,177
1,15,9,184
1,16,9,179
1,17,9,182
1,18,9,183
1,19,9,180
1,20,9,178
1,21,9,182
1,22,9,186
1,23,9,185
1,24,9,183
1,25,9,181
1,26,9,184
1,27,9,180
1,28,9,178
1,29,9,177
1,30,9,179
1,31,9,179
1,32,9,184
1,33,9,186
1,34,9,182
1,35,9,180
1,36,9,177
1,37,9,178
1,38,9,185
1,39,9,183
1,40,9,181
1,41,9,178
1,42,9,180
1,43,9,185
1,44,9,177
1,45,9,184
1,46,9,186
1,47,9,181
1,48,9,179
1,49,9,183
1,50,9,182
1,1,10,191
1,2,10,189
1,3,10,196
